tss_loc	ensg	name	strand
chr5:71658308-71658308	ENSMUSG00000029211	Gabra4	-1
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr4:49845549-49845549	ENSMUSG00000039579	Grin3a	-1
chr8:17535281-17535281	ENSMUSG00000060924	Csmd1	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chr10:58813359-58813359	ENSMUSG00000037990	Sh3rf3	1
chr7:78578408-78578408	ENSMUSG00000059146	Ntrk3	-1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr6:137252299-137252299	ENSMUSG00000030223	Ptpro	1
chr17:81649607-81649607	ENSMUSG00000054640	Slc8a1	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr19:50678646-50678646	ENSMUSG00000043531	Sorcs1	-1
chr1:146494760-146494760	ENSMUSG00000035131	Brinp3	1
chr1:9601199-9601199	ENSMUSG00000067879	3110035E14Rik	1
chr12:49382693-49382693	ENSMUSG00000020950	Foxg1	1
chr14:55491093-55491093	ENSMUSG00000022211	Lrrc16b	1
chr3:88206813-88206813	ENSMUSG00000097156	Gm3764	1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr4:22488366-22488366	ENSMUSG00000095139	Pou3f2	-1
chr2:163203125-163203125	ENSMUSG00000074607	Tox2	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr2:65620857-65620857	ENSMUSG00000075318	Scn2a1	1
chr3:105452330-105452330	ENSMUSG00000040896	Kcnd3	1
chr9:26733728-26733728	ENSMUSG00000045994	B3gat1	1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr10:80295977-80295977	ENSMUSG00000020135	Apc2	1
chrX:101299168-101299168	ENSMUSG00000031302	Nlgn3	1
chr10:52690533-52690533	ENSMUSG00000038602	Slc35f1	1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr7:18925888-18925888	ENSMUSG00000030411	Nova2	1
chr6:126740662-126740662	ENSMUSG00000038077	Kcna6	-1
chr16:81200697-81200697	ENSMUSG00000022762	Ncam2	1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr2:168281132-168281132	ENSMUSG00000074575	Kcng1	-1
chr10:42583632-42583632	ENSMUSG00000019803	Nr2e1	-1
