tss_loc	ensg	name	strand
chr11:53457110-53457110	ENSMUSG00000072963	Gm10447	-1
chr19:7382537-7382537	ENSMUSG00000099923	1700105P06Rik	1
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr7:18965173-18965173	ENSMUSG00000097038	Gm26821	-1
chr10:50895651-50895651	ENSMUSG00000019913	Sim1	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr1:136119822-136119822	ENSMUSG00000102717	RP23-211F21.1	-1
chr16:17561247-17561247	ENSMUSG00000022759	Lrrc74b	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr6:23248264-23248264	ENSMUSG00000029697	Fezf1	-1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr14:79771312-79771312	ENSMUSG00000036422	Pcdh8	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chr10:58813359-58813359	ENSMUSG00000037990	Sh3rf3	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr11:62761236-62761236	ENSMUSG00000086674	Zfp286os	1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
