tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
chr1:158551966-158551966	ENSMUSG00000102618	RP23-411L6.3	-1
chr1:51195221-51195221	ENSMUSG00000099625	Gm29325	1
chr1:164575455-164575455	ENSMUSG00000102389	RP24-272N10.6	1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr17:26199087-26199087	ENSMUSG00000024184	Pdia2	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr6:87778136-87778136	ENSMUSG00000030054	Gp9	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr5:48372392-48372392	ENSMUSG00000029089	Pacrgl	1
chr12:98628157-98628157	ENSMUSG00000021007	Spata7	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr8:123407107-123407107	ENSMUSG00000074037	Mc1r	1
chr14:46760541-46760541	ENSMUSG00000037628	Cdkn3	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chr8:80494045-80494045	ENSMUSG00000051839	Gypa	1
chr1:40429570-40429570	ENSMUSG00000026069	Il1rl1	1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr7:18884690-18884690	ENSMUSG00000030413	Pglyrp1	1
chr6:134929092-134929092	ENSMUSG00000098318	1190002F15Rik	1
chr13:22041362-22041362	ENSMUSG00000060639	Hist1h4i	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr10:4611593-4611593	ENSMUSG00000019768	Esr1	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr18:61953075-61953075	ENSMUSG00000045629	Sh3tc2	1
chr11:54028090-54028090	ENSMUSG00000020334	Slc22a4	-1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr15:81499548-81499548	ENSMUSG00000091198	Gm5218	-1
chr4:20778567-20778567	ENSMUSG00000055761	Nkain3	-1
chr1:137767527-137767527	ENSMUSG00000103728	RP23-122F14.1	-1
chr9:25089422-25089422	ENSMUSG00000066810	Gm10181	1
chr10:79874476-79874476	ENSMUSG00000057729	Prtn3	1
chr11:87793581-87793581	ENSMUSG00000009350	Mpo	1
chr12:104926142-104926142	ENSMUSG00000100975	Gm28875	-1
