tss_loc	ensg	name	strand
chr11:100096225-100096225	ENSMUSG00000048013	Krt35	-1
chr15:101743109-101743109	ENSMUSG00000051879	Krt71	-1
chr15:101802343-101802343	ENSMUSG00000063661	Krt73	-1
chr11:99322951-99322951	ENSMUSG00000035831	Krt25	-1
chr11:99351104-99351104	ENSMUSG00000017588	Krt27	-1
chr11:99374903-99374903	ENSMUSG00000055937	Krt28	-1
chr13:53473074-53473074	ENSMUSG00000021469	Msx2	-1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr2:130012349-130012349	ENSMUSG00000027401	Tgm3	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr14:118052246-118052246	ENSMUSG00000022129	Dct	-1
chr10:121033960-121033960	ENSMUSG00000020218	Wif1	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr4:122961152-122961152	ENSMUSG00000028655	Mfsd2a	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
