tss_loc	ensg	name	strand
chr5:71658308-71658308	ENSMUSG00000029211	Gabra4	-1
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr4:49845549-49845549	ENSMUSG00000039579	Grin3a	-1
chr8:17535281-17535281	ENSMUSG00000060924	Csmd1	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr11:113619342-113619342	ENSMUSG00000047904	Sstr2	1
chr7:79387027-79387027	ENSMUSG00000039194	Rlbp1	-1
chr4:148287965-148287965	ENSMUSG00000041544	Ptchd2	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr16:38902316-38902316	ENSMUSG00000022790	Igsf11	1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr14:79771312-79771312	ENSMUSG00000036422	Pcdh8	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:19282662-19282662	ENSMUSG00000030401	Rtn2	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr9:21937033-21937033	ENSMUSG00000040563	Lppr2	1
chr1:69107756-69107756	ENSMUSG00000062209	Erbb4	-1
chr6:88843720-88843720	ENSMUSG00000033152	Podxl2	-1
chr10:58813359-58813359	ENSMUSG00000037990	Sh3rf3	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr7:78578408-78578408	ENSMUSG00000059146	Ntrk3	-1
chr6:18428231-18428231	ENSMUSG00000000416	Cttnbp2	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr12:49382693-49382693	ENSMUSG00000020950	Foxg1	1
chr14:55491093-55491093	ENSMUSG00000022211	Lrrc16b	1
chr3:88206813-88206813	ENSMUSG00000097156	Gm3764	1
chr2:178118975-178118975	ENSMUSG00000027525	Phactr3	1
chr7:141429425-141429425	ENSMUSG00000060240	Cend1	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr18:72351069-72351069	ENSMUSG00000060534	Dcc	-1
chr5:116467860-116467860	ENSMUSG00000063919	Srrm4	-1
chr8:106337988-106337988	ENSMUSG00000031906	Smpd3	-1
chr13:54749874-54749874	ENSMUSG00000069227	Gprin1	-1
chr2:170731807-170731807	ENSMUSG00000027560	Dok5	1
chr13:84064772-84064772	ENSMUSG00000098087	Gm17750	-1
chr4:22488366-22488366	ENSMUSG00000095139	Pou3f2	-1
chr2:163203125-163203125	ENSMUSG00000074607	Tox2	1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr11:22001615-22001615	ENSMUSG00000005917	Otx1	-1
chr2:65620857-65620857	ENSMUSG00000075318	Scn2a1	1
chr2:152081529-152081529	ENSMUSG00000060257	Scrt2	1
chr4:154637576-154637576	ENSMUSG00000085069	Gm13111	1
chr1:17004219-17004219	ENSMUSG00000042686	Jph1	-1
