tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr9:111057270-111057270	ENSMUSG00000043953	Ccrl2	-1
chr5:92348882-92348882	ENSMUSG00000034855	Cxcl10	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr15:85735776-85735776	ENSMUSG00000022383	Ppara	1
chr4:141623821-141623821	ENSMUSG00000040740	Slc25a34	-1
chr10:40630011-40630011	ENSMUSG00000063428	Ddo	1
chr17:56117596-56117596	ENSMUSG00000011305	Plin5	-1
chr1:167598384-167598384	ENSMUSG00000015843	Rxrg	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr1:193273217-193273217	ENSMUSG00000009633	G0s2	-1
chr9:119157093-119157093	ENSMUSG00000010651	Acaa1b	-1
chr9:55283595-55283595	ENSMUSG00000032311	Nrg4	-1
chr12:91400994-91400994	ENSMUSG00000020963	Tshr	1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr2:6213033-6213033	ENSMUSG00000039063	Echdc3	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr16:23029101-23029101	ENSMUSG00000060459	Kng2	-1
chr19:38125321-38125321	ENSMUSG00000024990	Rbp4	-1
chr1:58029931-58029931	ENSMUSG00000063558	Aox1	1
chr1:135324807-135324807	ENSMUSG00000048096	Lmod1	1
chr6:59024549-59024549	ENSMUSG00000037709	Fam13a	-1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr15:54745702-54745702	ENSMUSG00000037362	Nov	1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr10:4611593-4611593	ENSMUSG00000019768	Esr1	1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr6:136875805-136875805	ENSMUSG00000030218	Mgp	-1
chr2:84775404-84775404	ENSMUSG00000023224	Serping1	-1
chr6:124512632-124512632	ENSMUSG00000055172	C1ra	1
chr3:19957054-19957054	ENSMUSG00000003617	Cp	1
chr6:124542321-124542321	ENSMUSG00000038521	C1s1	-1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr4:63344560-63344560	ENSMUSG00000039196	Orm1	1
chr11:109722279-109722279	ENSMUSG00000020614	Fam20a	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chrX:10117682-10117682	ENSMUSG00000090084	Srpx	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr2:66784914-66784914	ENSMUSG00000034810	Scn7a	-1
chr17:44188572-44188572	ENSMUSG00000023959	Clic5	1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr18:62922327-62922327	ENSMUSG00000071847	Apcdd1	1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr2:126034658-126034658	ENSMUSG00000027208	Fgf7	1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr5:149411749-149411749	ENSMUSG00000029659	Medag	1
chr17:34670535-34670535	ENSMUSG00000033327	Tnxb	1
chr5:7960472-7960472	ENSMUSG00000012428	Steap4	1
chr2:5137776-5137776	ENSMUSG00000026676	Ccdc3	1
chr10:67912662-67912662	ENSMUSG00000037855	Zfp365	-1
chr4:68954397-68954397	ENSMUSG00000028351	Brinp1	-1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr13:115101964-115101964	ENSMUSG00000042284	Itga1	-1
chr9:102988712-102988712	ENSMUSG00000032548	Slco2a1	1
chr16:14291408-14291408	ENSMUSG00000018830	Myh11	-1
