tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr1:172698055-172698055	ENSMUSG00000037942	Crp	1
chr12:104387164-104387164	ENSMUSG00000079012	Serpina3m	1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr13:4049011-4049011	ENSMUSG00000033715	Akr1c14	1
chr17:12675838-12675838	ENSMUSG00000023829	Slc22a1	-1
chr1:4779212-4779212	ENSMUSG00000102275	RP23-34E15.5	-1
chr2:140152043-140152043	ENSMUSG00000078197	Gm17374	1
chr10:61171954-61171954	ENSMUSG00000020096	Tbata	1
chr1:162813672-162813672	ENSMUSG00000026692	Fmo4	-1
chr11:30649587-30649587	ENSMUSG00000060923	Acyp2	-1
chr4:62502276-62502276	ENSMUSG00000038422	Hdhd3	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr16:26755491-26755491	ENSMUSG00000092545	Gm20319	-1
chr5:31297581-31297581	ENSMUSG00000059434	Gckr	1
chr17:34809754-34809754	ENSMUSG00000015451	C4a	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr2:91636407-91636407	ENSMUSG00000027249	F2	-1
chr15:85735776-85735776	ENSMUSG00000022383	Ppara	1
chr4:141623821-141623821	ENSMUSG00000040740	Slc25a34	-1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
chr1:158551966-158551966	ENSMUSG00000102618	RP23-411L6.3	-1
chr1:51195221-51195221	ENSMUSG00000099625	Gm29325	1
chr1:164575455-164575455	ENSMUSG00000102389	RP24-272N10.6	1
chr3:94693556-94693556	ENSMUSG00000068877	Selenbp2	1
chr18:31931507-31931507	ENSMUSG00000024395	Lims2	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr5:90561209-90561209	ENSMUSG00000070690	5830473C10Rik	1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr2:55411815-55411815	ENSMUSG00000087040	Gm14033	1
chr3:130617448-130617448	ENSMUSG00000019232	Etnppl	1
chr1:193273217-193273217	ENSMUSG00000009633	G0s2	-1
chr9:119157093-119157093	ENSMUSG00000010651	Acaa1b	-1
chr1:162898712-162898712	ENSMUSG00000040170	Fmo2	-1
chr7:17150282-17150282	ENSMUSG00000053228	Ceacam3	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:131797381-131797381	ENSMUSG00000042251	Pm20d1	1
chr7:119760924-119760924	ENSMUSG00000030935	Acsm3	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr5:35041553-35041553	ENSMUSG00000029102	Hgfac	1
chr3:90465866-90465866	ENSMUSG00000027931	Npr1	-1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr11:50238471-50238471	ENSMUSG00000020377	Ltc4s	-1
chr11:43901210-43901210	ENSMUSG00000050541	Adra1b	-1
chr14:75016027-75016027	ENSMUSG00000034959	5031414D18Rik	1
chr8:123407107-123407107	ENSMUSG00000074037	Mc1r	1
chr6:125320659-125320659	ENSMUSG00000030340	Scnn1a	1
chr8:93810292-93810292	ENSMUSG00000097520	Gm26843	-1
chr11:87126905-87126905	ENSMUSG00000085310	Gm11491	-1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr3:52004025-52004025	ENSMUSG00000102423	RP23-380F8.3	-1
chr8:70072924-70072924	ENSMUSG00000036151	Tm6sf2	1
chr7:144738543-144738543	ENSMUSG00000031075	Ano1	-1
chr7:24862213-24862213	ENSMUSG00000091955	Gm9844	1
chr19:19001117-19001117	ENSMUSG00000036192	Rorb	-1
chr4:43669141-43669141	ENSMUSG00000043633	Fam221b	-1
chr3:122293547-122293547	ENSMUSG00000057359	Gm17494	-1
chr15:74897021-74897021	ENSMUSG00000063522	2010109I03Rik	-1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chr10:127351772-127351772	ENSMUSG00000047492	Inhbe	-1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr16:23029101-23029101	ENSMUSG00000060459	Kng2	-1
chr19:38125321-38125321	ENSMUSG00000024990	Rbp4	-1
chr1:58029931-58029931	ENSMUSG00000063558	Aox1	1
chr6:59024549-59024549	ENSMUSG00000037709	Fam13a	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr10:4611593-4611593	ENSMUSG00000019768	Esr1	1
chr5:87140318-87140318	ENSMUSG00000054630	Ugt2b5	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr4:53270232-53270232	ENSMUSG00000086712	AI427809	-1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr9:37528078-37528078	ENSMUSG00000001946	Esam	1
chr4:118489755-118489755	ENSMUSG00000033191	Tie1	-1
chr4:94739289-94739289	ENSMUSG00000006386	Tek	1
chr3:137341067-137341067	ENSMUSG00000054690	Emcn	1
chr4:22408291-22408291	ENSMUSG00000103000	RP23-381K3.4	1
chr1:165235125-165235125	ENSMUSG00000102302	RP23-187M7.5	-1
chr1:58113130-58113130	ENSMUSG00000064294	Aox3	1
chr2:35061438-35061438	ENSMUSG00000026874	Hc	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr4:133553376-133553376	ENSMUSG00000037583	Nr0b2	1
chrX:96293438-96293438	ENSMUSG00000044206	Vsig4	-1
chr10:22360552-22360552	ENSMUSG00000078452	Raet1d	1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
