tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr6:77979699-77979699	ENSMUSG00000063063	Ctnna2	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr12:80760541-80760541	ENSMUSG00000062961	Ccdc177	-1
chr6:23248264-23248264	ENSMUSG00000029697	Fezf1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr17:85613608-85613608	ENSMUSG00000038805	Six3	1
chr17:85615348-85615348	ENSMUSG00000093460	Six3os1	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:19282662-19282662	ENSMUSG00000030401	Rtn2	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr10:49788766-49788766	ENSMUSG00000056073	Grik2	-1
chr15:84447097-84447097	ENSMUSG00000062760	1810041L15Rik	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chrX:141725263-141725263	ENSMUSG00000054667	Irs4	-1
chr11:22001615-22001615	ENSMUSG00000005917	Otx1	-1
chr2:65620857-65620857	ENSMUSG00000075318	Scn2a1	1
chr1:17004219-17004219	ENSMUSG00000042686	Jph1	-1
chr3:95160457-95160457	ENSMUSG00000038777	Sema6c	1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chrX:114474333-114474333	ENSMUSG00000025597	Klhl4	1
chr10:80295977-80295977	ENSMUSG00000020135	Apc2	1
chrX:101299168-101299168	ENSMUSG00000031302	Nlgn3	1
chr10:52690533-52690533	ENSMUSG00000038602	Slc35f1	1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr7:18925888-18925888	ENSMUSG00000030411	Nova2	1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr10:76961788-76961788	ENSMUSG00000001120	Pcbp3	-1
chr4:25800146-25800146	ENSMUSG00000055373	Fut9	-1
chr5:138279958-138279958	ENSMUSG00000029510	Gpc2	-1
chr17:17830719-17830719	ENSMUSG00000080316	Spaca6	1
chrX:106485274-106485274	ENSMUSG00000033737	Fndc3c1	-1
chr12:72409054-72409054	ENSMUSG00000021087	Rtn1	-1
chr4:103619359-103619359	ENSMUSG00000028519	Dab1	1
chr5:48372392-48372392	ENSMUSG00000029089	Pacrgl	1
chr12:98628157-98628157	ENSMUSG00000021007	Spata7	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr7:44429018-44429018	ENSMUSG00000047085	Lrrc4b	1
chr2:80447625-80447625	ENSMUSG00000027004	Frzb	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr10:70440880-70440880	ENSMUSG00000043259	Fam13c	1
chr12:109729764-109729764	ENSMUSG00000097391	Mirg	1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr8:87804439-87804439	ENSMUSG00000045333	Zfp423	-1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr17:80127471-80127471	ENSMUSG00000035473	Galm	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr1:158362273-158362273	ENSMUSG00000026587	Astn1	1
chr8:70120873-70120873	ENSMUSG00000002341	Ncan	-1
chr1:42695768-42695768	ENSMUSG00000045515	Pou3f3	1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
chr17:47833241-47833241	ENSMUSG00000032717	Mdfi	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr7:4119408-4119408	ENSMUSG00000030428	Ttyh1	1
chr15:89140703-89140703	ENSMUSG00000022610	Mapk12	-1
chr7:144896532-144896532	ENSMUSG00000031073	Fgf15	1
chr11:69398234-69398234	ENSMUSG00000045377	Tmem88	-1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr5:129584169-129584169	ENSMUSG00000029436	Mmp17	1
chr3:30013156-30013156	ENSMUSG00000027684	Mecom	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr8:111933791-111933791	ENSMUSG00000031951	Tmem231	-1
chr7:35334170-35334170	ENSMUSG00000030494	Rhpn2	1
chr3:157925077-157925077	ENSMUSG00000028179	Cth	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr10:87493660-87493660	ENSMUSG00000020052	Ascl1	-1
chr14:12345865-12345865	ENSMUSG00000021743	Fezf2	-1
chrX:6873484-6873484	ENSMUSG00000062393	Dgkk	1
chr11:28434110-28434110	ENSMUSG00000032878	Ccdc85a	-1
chr14:49783383-49783383	ENSMUSG00000036242	3632451O06Rik	-1
chr2:37776249-37776249	ENSMUSG00000035403	Crb2	1
chr18:62922327-62922327	ENSMUSG00000071847	Apcdd1	1
chr3:49757316-49757316	ENSMUSG00000037892	Pcdh18	-1
chr7:45783738-45783738	ENSMUSG00000062044	Lmtk3	1
chr7:64501706-64501706	ENSMUSG00000030519	Apba2	1
chr6:29396309-29396309	ENSMUSG00000029769	Ccdc136	1
chr7:43490075-43490075	ENSMUSG00000013367	Iglon5	-1
chr6:143947106-143947106	ENSMUSG00000041540	Sox5	-1
chr16:42340651-42340651	ENSMUSG00000047261	Gap43	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr3:87948666-87948666	ENSMUSG00000004885	Crabp2	1
chr10:67912662-67912662	ENSMUSG00000037855	Zfp365	-1
chr4:68954397-68954397	ENSMUSG00000028351	Brinp1	-1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr19:6418731-6418731	ENSMUSG00000033768	Nrxn2	1
chr7:24482023-24482023	ENSMUSG00000054793	Cadm4	1
chr11:76179671-76179671	ENSMUSG00000069808	Fam57a	1
chr5:33995984-33995984	ENSMUSG00000048142	Nat8l	1
chr9:16378231-16378231	ENSMUSG00000074505	Fat3	-1
chr1:166254139-166254139	ENSMUSG00000040612	Ildr2	1
chrX:60893430-60893430	ENSMUSG00000045179	Sox3	-1
chr13:78199757-78199757	ENSMUSG00000069171	Nr2f1	-1
chr10:43174530-43174530	ENSMUSG00000038248	Sobp	-1
chr8:12395295-12395295	ENSMUSG00000096014	Sox1	1
chr15:84855110-84855110	ENSMUSG00000016624	Phf21b	-1
chr12:105453856-105453856	ENSMUSG00000094910	D430019H16Rik	1
chr11:71033513-71033513	ENSMUSG00000018451	6330403K07Rik	-1
chr10:84756062-84756062	ENSMUSG00000020037	Rfx4	1
chrX:72656186-72656186	ENSMUSG00000031343	Gabra3	-1
chr17:83215292-83215292	ENSMUSG00000024247	Pkdcc	1
