tss_loc	ensg	name	strand
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr1:36132042-36132042	ENSMUSG00000102202	RP23-173H19.3	1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chr10:127000709-127000709	ENSMUSG00000025432	Avil	1
chr17:34809754-34809754	ENSMUSG00000015451	C4a	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr6:121300227-121300227	ENSMUSG00000030108	Slc6a13	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr5:35041553-35041553	ENSMUSG00000029102	Hgfac	1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr11:50238471-50238471	ENSMUSG00000020377	Ltc4s	-1
chr7:82335694-82335694	ENSMUSG00000070469	Adamtsl3	1
chr12:31073968-31073968	ENSMUSG00000036136	Fam110c	1
chr14:55618037-55618037	ENSMUSG00000002324	Rec8	1
chr2:131859747-131859747	ENSMUSG00000037482	Erv3	-1
chr1:40429570-40429570	ENSMUSG00000026069	Il1rl1	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr10:4611593-4611593	ENSMUSG00000019768	Esr1	1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr7:29134854-29134854	ENSMUSG00000030589	Rasgrp4	1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr12:40134228-40134228	ENSMUSG00000002565	Scin	-1
chr11:115048409-115048409	ENSMUSG00000069607	Cd300lh	-1
chr8:70632095-70632095	ENSMUSG00000038508	Gdf15	-1
chr15:78305603-78305603	ENSMUSG00000071714	Csf2rb2	-1
chr10:51480632-51480632	ENSMUSG00000089672	Gp49a	1
