tss_loc	ensg	name	strand
chr4:138724792-138724792	ENSMUSG00000028750	Pla2g2c	1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chr8:25597487-25597487	ENSMUSG00000037363	Letm2	-1
chr7:30515122-30515122	ENSMUSG00000062132	Arhgap33os	1
chr2:152580312-152580312	ENSMUSG00000050645	Defb19	-1
chr6:30509849-30509849	ENSMUSG00000029784	Ssmem1	1
chrY:818649-818649	ENSMUSG00000069053	Uba1y	1
chr7:4532453-4532453	ENSMUSG00000055809	Dnaaf3	-1
chr17:45523434-45523434	ENSMUSG00000023949	Tcte1	1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr17:14934653-14934653	ENSMUSG00000046991	Wdr27	-1
chr17:43630299-43630299	ENSMUSG00000040140	Tdrd6	-1
chr6:96166243-96166243	ENSMUSG00000072878	1700123L14Rik	-1
chr11:116454347-116454347	ENSMUSG00000070331	Qrich2	-1
chr15:74634849-74634849	ENSMUSG00000022603	Mroh4	-1
chr6:124779727-124779727	ENSMUSG00000030125	Lrrc23	-1
chr11:114727408-114727408	ENSMUSG00000034706	Dnaic2	1
chr7:89903618-89903618	ENSMUSG00000039391	Ccdc81	-1
chr2:18699023-18699023	ENSMUSG00000037708	BC061194	1
chr14:32833962-32833962	ENSMUSG00000078127	Fam170b	1
chr4:56741443-56741443	ENSMUSG00000070980	Actl7b	-1
chr5:120589016-120589016	ENSMUSG00000029601	Iqcd	1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr15:74817473-74817473	ENSMUSG00000068349	Gml	-1
chr18:6603633-6603633	ENSMUSG00000039540	4921524L21Rik	1
chr10:93831555-93831555	ENSMUSG00000020020	Usp44	1
chr16:17147229-17147229	ENSMUSG00000022768	Ccdc116	-1
chr15:38219203-38219203	ENSMUSG00000061923	Odf1	1
chr7:30733068-30733068	ENSMUSG00000061099	Gapdhs	-1
chr11:76217608-76217608	ENSMUSG00000038057	Dbil5	1
chr8:83348471-83348471	ENSMUSG00000035057	Mgat4d	1
chr18:17035508-17035508	ENSMUSG00000087170	1700001G01Rik	1
chr6:138658444-138658444	ENSMUSG00000046717	Igbp1b	-1
chr3:40522912-40522912	ENSMUSG00000037884	1700017G19Rik	-1
chr17:71552061-71552061	ENSMUSG00000052525	Spdya	1
chr1:46066315-46066315	ENSMUSG00000041144	Dnah7b	1
chr1:177983423-177983423	ENSMUSG00000091476	Gm16432	1
chr13:21468509-21468509	ENSMUSG00000059395	Nkapl	-1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
