tss_loc	ensg	name	strand
chr9:45079183-45079183	ENSMUSG00000048534	Amica1	1
chr6:129623864-129623864	ENSMUSG00000030149	Klrk1	-1
chr17:25244033-25244033	ENSMUSG00000047507	Baiap3	-1
chr2:165655298-165655298	ENSMUSG00000017897	Eya2	1
chr14:30008813-30008813	ENSMUSG00000015966	Il17rb	-1
chr10:79890853-79890853	ENSMUSG00000061780	Cfd	1
chr17:56109803-56109803	ENSMUSG00000002831	Plin4	-1
chr7:97417730-97417730	ENSMUSG00000035686	Thrsp	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr13:22009741-22009741	ENSMUSG00000006179	Prss16	-1
chr17:46428926-46428926	ENSMUSG00000023968	Crip3	1
chr2:147361925-147361925	ENSMUSG00000037034	Pax1	1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr2:156887078-156887078	ENSMUSG00000027636	Sla2	-1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chr6:129591782-129591782	ENSMUSG00000030165	Klrd1	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr9:14903884-14903884	ENSMUSG00000031933	Folr4	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr12:56691767-56691767	ENSMUSG00000001497	Pax9	1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr16:48771956-48771956	ENSMUSG00000030775	Trat1	-1
chr1:193273217-193273217	ENSMUSG00000009633	G0s2	-1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr19:5468498-5468498	ENSMUSG00000024910	Ctsw	-1
chr8:4325210-4325210	ENSMUSG00000023235	Ccl25	1
chr4:107307169-107307169	ENSMUSG00000034785	Dio1	-1
chr4:128618619-128618619	ENSMUSG00000062545	Tlr12	-1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr9:123678439-123678439	ENSMUSG00000029530	Ccr9	1
chr17:34092340-34092340	ENSMUSG00000024334	H2-Oa	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr6:59024549-59024549	ENSMUSG00000037709	Fam13a	-1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr14:40893266-40893266	ENSMUSG00000037833	Sh2d4b	-1
chr3:138260991-138260991	ENSMUSG00000074207	Adh1	1
chr1:184883218-184883218	ENSMUSG00000039349	C130074G19Rik	-1
chr6:136875805-136875805	ENSMUSG00000030218	Mgp	-1
chr2:84775404-84775404	ENSMUSG00000023224	Serping1	-1
chr6:124512632-124512632	ENSMUSG00000055172	C1ra	1
chr3:19957054-19957054	ENSMUSG00000003617	Cp	1
chr6:124542321-124542321	ENSMUSG00000038521	C1s1	-1
chr6:78468571-78468571	ENSMUSG00000030017	Reg3g	-1
chr11:58616075-58616075	ENSMUSG00000037145	2210407C18Rik	-1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr2:66784914-66784914	ENSMUSG00000034810	Scn7a	-1
chr17:44188572-44188572	ENSMUSG00000023959	Clic5	1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr8:70808449-70808449	ENSMUSG00000000791	Il12rb1	1
chr6:48766519-48766519	ENSMUSG00000039264	Gimap3	-1
chr11:106314762-106314762	ENSMUSG00000040592	Cd79b	-1
chr19:40994148-40994148	ENSMUSG00000061132	Blnk	-1
chr7:43408204-43408204	ENSMUSG00000030468	Siglecg	1
chr17:46763712-46763712	ENSMUSG00000036858	Ptcra	-1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr12:112929495-112929495	ENSMUSG00000002799	Jag2	-1
chr4:137277489-137277489	ENSMUSG00000036856	Wnt4	1
chr18:12333819-12333819	ENSMUSG00000024421	Lama3	1
chr17:34670535-34670535	ENSMUSG00000033327	Tnxb	1
chr5:7960472-7960472	ENSMUSG00000012428	Steap4	1
chr17:35342242-35342242	ENSMUSG00000091705	H2-Q2	1
chr19:53454094-53454094	ENSMUSG00000097636	5830416P10Rik	-1
chr19:4175479-4175479	ENSMUSG00000075289	Carns1	-1
chr5:107724343-107724343	ENSMUSG00000029275	Gfi1	-1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr7:30413788-30413788	ENSMUSG00000030579	Tyrobp	1
chr15:78325990-78325990	ENSMUSG00000071713	Csf2rb	1
chr13:115101964-115101964	ENSMUSG00000042284	Itga1	-1
chr9:102988712-102988712	ENSMUSG00000032548	Slco2a1	1
chr16:14291408-14291408	ENSMUSG00000018830	Myh11	-1
chr7:79732776-79732776	ENSMUSG00000030546	Plin1	-1
chr16:23146536-23146536	ENSMUSG00000022878	Adipoq	1
chr6:113435760-113435760	ENSMUSG00000030278	Cidec	-1
chr7:30763756-30763756	ENSMUSG00000060962	Dmkn	1
chr12:103443680-103443680	ENSMUSG00000079017	Ifi27l2a	-1
chr19:11484577-11484577	ENSMUSG00000099757	BE692007	-1
chr8:106510913-106510913	ENSMUSG00000061048	Cdh3	1
chr11:115974709-115974709	ENSMUSG00000020758	Itgb4	1
chr1:153186047-153186047	ENSMUSG00000026479	Lamc2	-1
chr19:25672420-25672420	ENSMUSG00000048138	Dmrt2	1
chr9:57148127-57148127	ENSMUSG00000032298	Neil1	-1
chr3:7613727-7613727	ENSMUSG00000040329	Il7	-1
chrX:42502453-42502453	ENSMUSG00000005696	Sh2d1a	1
chr1:9547948-9547948	ENSMUSG00000025911	Adhfe1	1
chr5:72752773-72752773	ENSMUSG00000054892	Txk	-1
chr7:97738247-97738247	ENSMUSG00000042797	Aqp11	-1
chr11:115462474-115462474	ENSMUSG00000045775	Slc16a5	1
chr11:89066088-89066088	ENSMUSG00000063109	Dgkeos	1
chr2:120456019-120456019	ENSMUSG00000079110	Capn3	1
chr8:92827328-92827328	ENSMUSG00000031740	Mmp2	1
chr5:105239533-105239533	ENSMUSG00000079362	Gbp6	-1
chr12:113306711-113306711	ENSMUSG00000076613	Ighg2b	-1
chr11:116654313-116654313	ENSMUSG00000020810	Cygb	-1
chr17:34729265-34729265	ENSMUSG00000073418	C4b	-1
chr13:33003250-33003250	ENSMUSG00000045827	Serpinb9	1
chr5:52363946-52363946	ENSMUSG00000072941	Sod3	1
chr1:164796644-164796644	ENSMUSG00000026574	Dpt	1
chr6:41113550-41113550	ENSMUSG00000095574	Trbv12-1	1
chr7:67759742-67759742	ENSMUSG00000030554	Synm	-1
chr17:43389466-43389466	ENSMUSG00000056492	Gpr116	1
chr1:169655501-169655501	ENSMUSG00000026678	Rgs5	1
chr18:20310811-20310811	ENSMUSG00000069441	Dsg1a	1
chr6:71322836-71322836	ENSMUSG00000053044	Cd8b1	1
chr5:105110292-105110292	ENSMUSG00000029298	Gbp9	-1
chr2:101624718-101624718	ENSMUSG00000032864	Rag2	1
chr4:6990799-6990799	ENSMUSG00000041272	Tox	-1
chr17:51799190-51799190	ENSMUSG00000103216	RP24-490B17.5	-1
chr1:180357649-180357649	ENSMUSG00000104388	RP24-74O18.2	1
chr2:173153048-173153048	ENSMUSG00000027513	Pck1	1
chr15:97731405-97731405	ENSMUSG00000022468	Endou	-1
chr14:31577383-31577383	ENSMUSG00000057606	Colq	-1
chr11:120732114-120732114	ENSMUSG00000025150	Cbr2	-1
chr2:101649501-101649501	ENSMUSG00000061311	Rag1	-1
chr9:112185726-112185726	ENSMUSG00000032503	Arpp21	-1
chr16:46120251-46120251	ENSMUSG00000022657	Cd96	-1
chr3:73708415-73708415	ENSMUSG00000027792	Bche	-1
chr3:118562129-118562129	ENSMUSG00000033308	Dpyd	1
chr6:21852088-21852088	ENSMUSG00000029669	Tspan12	-1
chr6:71373427-71373427	ENSMUSG00000053977	Cd8a	1
chr17:51761621-51761621	ENSMUSG00000102212	RP24-146B4.2	-1
chr2:91945703-91945703	ENSMUSG00000095332	Gm9821	1
chr11:69964779-69964779	ENSMUSG00000018569	Cldn7	1
chr2:58160495-58160495	ENSMUSG00000026832	Cytip	-1
chr6:51432670-51432670	ENSMUSG00000029832	Nfe2l3	1
chr2:9878600-9878600	ENSMUSG00000015619	Gata3	-1
chr3:94372831-94372831	ENSMUSG00000028150	Rorc	1
chr6:41062332-41062332	ENSMUSG00000076465	Trbv5	1
chr6:41178375-41178375	ENSMUSG00000076475	Trbv19	1
chr17:51793461-51793461	ENSMUSG00000102744	RP24-490B17.6	-1
chr4:103073002-103073002	ENSMUSG00000035126	Wdr78	-1
chr12:100908198-100908198	ENSMUSG00000047415	Gpr68	-1
chr4:156026164-156026164	ENSMUSG00000041954	Tnfrsf18	1
chr10:127078907-127078907	ENSMUSG00000025422	Agap2	1
chr1:51987148-51987148	ENSMUSG00000062939	Stat4	1
chr7:90348699-90348699	ENSMUSG00000030616	Sytl2	1
chr9:54661870-54661870	ENSMUSG00000032281	Acsbg1	-1
chr13:75089826-75089826	ENSMUSG00000021587	Pcsk1	1
chr4:152152207-152152207	ENSMUSG00000028943	Espn	-1
chr10:107720051-107720051	ENSMUSG00000035916	Ptprq	-1
chr5:87699421-87699421	ENSMUSG00000063157	Csn2	-1
chr11:83709015-83709015	ENSMUSG00000000983	Wfdc18	1
chr10:81328732-81328732	ENSMUSG00000034881	Tbxa2r	1
chr18:60376029-60376029	ENSMUSG00000054072	Iigp1	1
chr1:174031755-174031755	ENSMUSG00000054203	Ifi205	-1
chr4:112774825-112774825	ENSMUSG00000048766	Skint10	-1
chr17:32420975-32420975	ENSMUSG00000079563	Pglyrp2	-1
chr7:43797577-43797577	ENSMUSG00000064023	Klk8	1
chr1:60977927-60977927	ENSMUSG00000026009	Icos	1
chr6:124888221-124888221	ENSMUSG00000023274	Cd4	-1
chr11:94242707-94242707	ENSMUSG00000044177	Wfikkn2	-1
chr7:140763739-140763739	ENSMUSG00000025479	Cyp2e1	1
chrX:164027997-164027997	ENSMUSG00000031373	Car5b	-1
chr2:174346712-174346712	ENSMUSG00000090625	Gm20721	-1
chr6:125237010-125237010	ENSMUSG00000030336	Cd27	-1
chr17:31207873-31207873	ENSMUSG00000042345	Ubash3a	1
chrX:107089278-107089278	ENSMUSG00000050921	P2ry10	1
chr16:10827927-10827927	ENSMUSG00000096921	Gm26822	1
chr13:49608071-49608071	ENSMUSG00000021390	Ogn	1
chr19:20727562-20727562	ENSMUSG00000024747	Aldh1a7	-1
chr1:133690108-133690108	ENSMUSG00000051998	Lax1	-1
chr2:25180758-25180758	ENSMUSG00000078202	Nrarp	1
chr5:148960210-148960210	ENSMUSG00000085455	1810059H22Rik	-1
chr11:70322628-70322628	ENSMUSG00000018907	Alox12e	-1
chr1:51289126-51289126	ENSMUSG00000045954	Sdpr	1
chr3:90537254-90537254	ENSMUSG00000074457	S100a16	1
chr7:25477625-25477625	ENSMUSG00000074272	Ceacam1	-1
chrX:73082478-73082478	ENSMUSG00000079845	Xlr4a	-1
chr4:48045153-48045153	ENSMUSG00000028341	Nr4a3	1
chrX:73214333-73214333	ENSMUSG00000067768	Xlr4b	1
chr4:150914562-150914562	ENSMUSG00000028965	Tnfrsf9	1
chr8:93197838-93197838	ENSMUSG00000056973	Ces1d	-1
chr17:25754327-25754327	ENSMUSG00000063011	Msln	-1
chr4:42168603-42168603	ENSMUSG00000073876	Gm13305	-1
chr8:83290348-83290348	ENSMUSG00000031710	Ucp1	1
chr7:140900446-140900446	ENSMUSG00000025488	Cox8b	-1
chr18:67343564-67343564	ENSMUSG00000024526	Cidea	1
chr6:41605482-41605482	ENSMUSG00000029869	Ephb6	1
chr2:17731043-17731043	ENSMUSG00000053702	Nebl	-1
chr5:8660077-8660077	ENSMUSG00000040584	Abcb1a	1
chr10:85386827-85386827	ENSMUSG00000020042	Btbd11	1
chr9:103423578-103423578	ENSMUSG00000086236	5830418P13Rik	1
chr18:61045150-61045150	ENSMUSG00000024620	Pdgfrb	1
chr1:163313672-163313672	ENSMUSG00000026586	Prrx1	-1
chr7:15967567-15967567	ENSMUSG00000074364	Ehd2	-1
chr5:137611408-137611408	ENSMUSG00000029718	Pcolce	-1
chr11:75422701-75422701	ENSMUSG00000000753	Serpinf1	-1
chr1:170110561-170110561	ENSMUSG00000026674	Ddr2	-1
chr16:95900398-95900398	ENSMUSG00000085903	Gm15340	1
chr5:65967124-65967124	ENSMUSG00000029205	Chrna9	1
chr17:34143307-34143307	ENSMUSG00000037548	H2-DMb2	1
chr4:134095041-134095041	ENSMUSG00000000682	Cd52	-1
chr2:172979849-172979849	ENSMUSG00000005883	Spo11	1
chr11:105967945-105967945	ENSMUSG00000020681	Ace	1
chr6:129342691-129342691	ENSMUSG00000053063	Clec12a	1
chr19:11469366-11469366	ENSMUSG00000079419	Ms4a6c	1
chr11:46389515-46389515	ENSMUSG00000020395	Itk	-1
chr9:44981793-44981793	ENSMUSG00000032094	Cd3d	1
chr3:87846755-87846755	ENSMUSG00000028071	Sh2d2a	1
chr9:44980431-44980431	ENSMUSG00000002033	Cd3g	-1
chr7:68273839-68273839	ENSMUSG00000074071	Fam169b	1
chr19:36736653-36736653	ENSMUSG00000067279	Ppp1r3c	-1
chr7:30184171-30184171	ENSMUSG00000074218	Cox7a1	1
chr15:89425863-89425863	ENSMUSG00000078937	Cpt1b	-1
chr17:34153072-34153072	ENSMUSG00000079547	H2-DMb1	1
chr6:91212455-91212455	ENSMUSG00000064080	Fbln2	1
chr17:34238903-34238903	ENSMUSG00000041538	H2-Ob	1
chr6:70726435-70726435	ENSMUSG00000076609	Igkc	1
chr13:19344558-19344558	ENSMUSG00000076757	Tcrg-C4	1
chr6:41121396-41121396	ENSMUSG00000076469	Trbv13-2	1
chr15:99717515-99717515	ENSMUSG00000023019	Gpd1	1
chr1:144249242-144249242	ENSMUSG00000026358	Rgs1	-1
chr11:49064204-49064204	ENSMUSG00000078921	Tgtp2	-1
chr12:104236245-104236245	ENSMUSG00000041481	Serpina3g	1
chr6:41059394-41059394	ENSMUSG00000076464	Trbv4	1
chr6:41558452-41558452	ENSMUSG00000076499	Trbv31	-1
chr6:41546730-41546730	ENSMUSG00000076498	Trbc2	1
chr6:41538218-41538218	ENSMUSG00000076490	Trbc1	1
chr3:113577830-113577830	ENSMUSG00000074264	Amy1	-1
chr13:19214103-19214103	ENSMUSG00000076749	Tcrg-C1	1
chr13:19307551-19307551	ENSMUSG00000076752	Tcrg-C2	-1
chr13:113100979-113100979	ENSMUSG00000023132	Gzma	-1
chr3:136326046-136326046	ENSMUSG00000037922	Bank1	-1
chr5:88527891-88527891	ENSMUSG00000067149	Igj	-1
chr7:126369543-126369543	ENSMUSG00000030742	Lat	-1
chr2:169633013-169633013	ENSMUSG00000047907	Tshz2	1
chr11:79523762-79523762	ENSMUSG00000093938	Evi2b	-1
chr13:43785107-43785107	ENSMUSG00000015396	Cd83	1
chr19:10738974-10738974	ENSMUSG00000024669	Cd5	-1
chr15:78495066-78495066	ENSMUSG00000068227	Il2rb	-1
chr19:10830058-10830058	ENSMUSG00000024670	Cd6	-1
chr1:165788681-165788681	ENSMUSG00000005763	Cd247	1
chr18:60212080-60212080	ENSMUSG00000073555	Gm4951	1
chr9:31464238-31464238	ENSMUSG00000041737	Tmem45b	-1
chr7:28071236-28071236	ENSMUSG00000047730	Fcgbp	1
chr9:79612970-79612970	ENSMUSG00000032332	Col12a1	-1
chr10:76726168-76726168	ENSMUSG00000001119	Col6a1	-1
chr10:76623630-76623630	ENSMUSG00000020241	Col6a2	-1
chr17:6673458-6673458	ENSMUSG00000041831	Sytl3	1
chr15:102144362-102144362	ENSMUSG00000023046	Igfbp6	1
chr5:35679782-35679782	ENSMUSG00000029096	Htra3	-1
chr2:14229392-14229392	ENSMUSG00000026712	Mrc1	1
chr4:136886187-136886187	ENSMUSG00000036905	C1qb	-1
chr4:136893065-136893065	ENSMUSG00000036896	C1qc	-1
chr4:136898803-136898803	ENSMUSG00000036887	C1qa	-1
chr10:87859068-87859068	ENSMUSG00000020053	Igf1	1
chr14:33185508-33185508	ENSMUSG00000051506	Wdfy4	-1
chr7:44572432-44572432	ENSMUSG00000002204	Napsa	1
chr9:45009590-45009590	ENSMUSG00000032093	Cd3e	-1
chr11:96464593-96464593	ENSMUSG00000057058	Skap1	1
chr1:60716800-60716800	ENSMUSG00000026012	Cd28	1
chr1:36761798-36761798	ENSMUSG00000026117	Zap70	1
chr10:28668360-28668360	ENSMUSG00000049109	Themis	1
chr8:104631321-104631321	ENSMUSG00000031880	Rrad	-1
chr13:32965209-32965209	ENSMUSG00000042842	Serpinb6b	1
chr14:101609033-101609033	ENSMUSG00000033083	Tbc1d4	-1
chr19:34255336-34255336	ENSMUSG00000035783	Acta2	-1
chr11:5861947-5861947	ENSMUSG00000020473	Aebp1	1
chr6:48647234-48647234	ENSMUSG00000064262	Gimap8	1
chrX:107255878-107255878	ENSMUSG00000073008	Gpr174	1
chr15:80623505-80623505	ENSMUSG00000042351	Grap2	1
chr12:98268635-98268635	ENSMUSG00000021886	Gpr65	1
chr3:84666192-84666192	ENSMUSG00000056498	Tmem154	1
chrX:9469324-9469324	ENSMUSG00000015340	Cybb	-1
chr6:41047340-41047340	ENSMUSG00000076462	Trbv2	1
chr6:41048290-41048290	ENSMUSG00000076463	Trbv3	1
chr6:41141188-41141188	ENSMUSG00000076472	Trbv15	1
chr6:41151740-41151740	ENSMUSG00000076473	Trbv16	1
chr6:48684549-48684549	ENSMUSG00000054435	Gimap4	1
chr3:101287939-101287939	ENSMUSG00000027863	Cd2	-1
chr2:117343001-117343001	ENSMUSG00000027347	Rasgrp1	-1
chr11:83530518-83530518	ENSMUSG00000035042	Ccl5	-1
chr3:142560052-142560052	ENSMUSG00000028268	Gbp3	1
chr3:142594847-142594847	ENSMUSG00000040264	Gbp5	1
chr4:42773993-42773993	ENSMUSG00000094686	Ccl21a	-1
chr4:41903610-41903610	ENSMUSG00000094065	Gm21541	1
chr17:37193892-37193892	ENSMUSG00000035186	Ubd	1
chr5:77408045-77408045	ENSMUSG00000036256	Igfbp7	-1
chr6:17306335-17306335	ENSMUSG00000007655	Cav1	1
chr16:45093402-45093402	ENSMUSG00000022665	Ccdc80	1
chr5:104114088-104114088	ENSMUSG00000029309	Sparcl1	-1
chr13:58806596-58806596	ENSMUSG00000055254	Ntrk2	1
chr15:8710764-8710764	ENSMUSG00000005360	Slc1a3	-1
chr1:172298064-172298064	ENSMUSG00000007097	Atp1a2	-1
chr16:10488178-10488178	ENSMUSG00000022504	Ciita	1
chr9:37255738-37255738	ENSMUSG00000032122	Slc37a2	-1
chr19:11334695-11334695	ENSMUSG00000024672	Ms4a7	-1
chr1:171917515-171917515	ENSMUSG00000015314	Slamf6	1
chr13:30749226-30749226	ENSMUSG00000021356	Irf4	1
chr11:98545800-98545800	ENSMUSG00000018168	Ikzf3	-1
chr11:99155077-99155077	ENSMUSG00000037944	Ccr7	-1
chr2:126499847-126499847	ENSMUSG00000060131	Atp8b4	-1
chr14:54220521-54220521	ENSMUSG00000076928	Trac	1
chr4:59915056-59915056	ENSMUSG00000028386	Slc46a2	-1
chr11:78386558-78386558	ENSMUSG00000002057	Foxn1	-1
chr6:121245906-121245906	ENSMUSG00000030107	Usp18	1
chr4:156200818-156200818	ENSMUSG00000035692	Isg15	-1
chr19:34640871-34640871	ENSMUSG00000034459	Ifit1	1
chr12:26456431-26456431	ENSMUSG00000020641	Rsad2	-1
chr5:104982718-104982718	ENSMUSG00000029299	Abcg3	-1
chr18:52529708-52529708	ENSMUSG00000024529	Lox	-1
chr4:64020725-64020725	ENSMUSG00000028364	Tnc	-1
chr7:43437073-43437073	ENSMUSG00000004612	Nkg7	1
chr11:115091431-115091431	ENSMUSG00000020732	Rab37	1
chr2:34961585-34961585	ENSMUSG00000026875	Traf1	-1
chr9:88731914-88731914	ENSMUSG00000099974	Bcl2a1d	-1
chr9:89199209-89199209	ENSMUSG00000089929	Bcl2a1b	1
chr19:11050566-11050566	ENSMUSG00000075010	AW112010	-1
chr4:129558391-129558391	ENSMUSG00000000409	Lck	-1
chr11:52282571-52282571	ENSMUSG00000000782	Tcf7	-1
chr1:133921414-133921414	ENSMUSG00000041577	Prelp	-1
chr14:31139848-31139848	ENSMUSG00000042286	Stab1	-1
chr2:160367065-160367065	ENSMUSG00000074622	Mafb	-1
chr17:34039437-34039437	ENSMUSG00000024330	Col11a2	1
chr4:139092993-139092993	ENSMUSG00000041120	Nbl1	-1
chr2:125506385-125506385	ENSMUSG00000027204	Fbn1	-1
chr1:90843952-90843952	ENSMUSG00000048126	Col6a3	-1
chr2:11642807-11642807	ENSMUSG00000026770	Il2ra	1
chr13:49504810-49504810	ENSMUSG00000043631	Ecm2	1
chr7:113388573-113388573	ENSMUSG00000059077	Pth	-1
chr11:87755577-87755577	ENSMUSG00000084796	Mir142hg	1
chr11:5152257-5152257	ENSMUSG00000034164	Emid1	-1
chr8:84042575-84042575	ENSMUSG00000005465	Il27ra	-1
chr14:70766036-70766036	ENSMUSG00000022102	Dok2	1
chr9:94669909-94669909	ENSMUSG00000031129	Slc9a9	1
chr15:54920002-54920002	ENSMUSG00000022425	Enpp2	-1
chr18:32939041-32939041	ENSMUSG00000038128	Camk4	1
chr5:65863569-65863569	ENSMUSG00000029204	Rhoh	1
chr6:48708225-48708225	ENSMUSG00000047867	Gimap6	-1
