tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr12:115507977-115507977	ENSMUSG00000094088	Ighv1-64	-1
chr12:115120219-115120219	ENSMUSG00000094198	Ighv1-50	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr6:68270527-68270527	ENSMUSG00000093861	Igkv1-110	1
chr6:68121091-68121091	ENSMUSG00000094335	Igkv1-117	1
chr6:68632430-68632430	ENSMUSG00000094420	Igkv10-96	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr3:86997947-86997947	ENSMUSG00000028076	Cd1d1	-1
chr2:60383303-60383303	ENSMUSG00000026980	Ly75	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr17:34249057-34249057	ENSMUSG00000092222	Gm20506	1
chr6:68541658-68541658	ENSMUSG00000076525	Igkv1-99	1
chr1:85611896-85611896	ENSMUSG00000073628	Gm10552	-1
chr6:70663298-70663298	ENSMUSG00000095335	Igkv3-5	1
chr12:115294504-115294504	ENSMUSG00000104452	Ighv8-8	-1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr6:68049983-68049983	ENSMUSG00000094872	Igkv9-120	1
chr1:171653035-171653035	ENSMUSG00000038179	Slamf7	-1
chr14:59341351-59341351	ENSMUSG00000091649	Phf11b	-1
chr1:173580353-173580353	ENSMUSG00000073491	Pydc4	-1
chr3:87376387-87376387	ENSMUSG00000059994	Fcrl1	1
chr9:51278513-51278513	ENSMUSG00000044694	2010007H06Rik	1
chrX:73774405-73774405	ENSMUSG00000002007	Srpk3	1
chr9:121898464-121898464	ENSMUSG00000044534	Ackr2	1
chr7:30857864-30857864	ENSMUSG00000103359	RP24-63G4.6	-1
chr1:85599286-85599286	ENSMUSG00000090103	Gm16094	1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr17:75435905-75435905	ENSMUSG00000071042	Rasgrp3	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr17:30624354-30624354	ENSMUSG00000033826	Dnah8	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr14:75016027-75016027	ENSMUSG00000034959	5031414D18Rik	1
chr11:104550663-104550663	ENSMUSG00000061086	Myl4	1
chr9:103480420-103480420	ENSMUSG00000032556	Bfsp2	-1
chr3:87435773-87435773	ENSMUSG00000048031	Fcrl5	1
chr6:70215433-70215433	ENSMUSG00000094930	Igkv6-25	1
chr17:34092340-34092340	ENSMUSG00000024334	H2-Oa	1
chr17:34325665-34325665	ENSMUSG00000067341	H2-Eb2	1
chr11:48826140-48826140	ENSMUSG00000040350	Trim7	1
chr6:29272488-29272488	ENSMUSG00000043421	Hilpda	1
chr12:115145919-115145919	ENSMUSG00000095204	Ighv1-52	-1
chr1:127840321-127840321	ENSMUSG00000051590	Map3k19	-1
chr19:11443553-11443553	ENSMUSG00000056290	Ms4a4b	1
chr13:34652671-34652671	ENSMUSG00000021411	Pxdc1	-1
chr4:132796387-132796387	ENSMUSG00000037731	Themis2	-1
chr13:102693558-102693558	ENSMUSG00000021624	Cd180	1
chr11:97685953-97685953	ENSMUSG00000078695	Cisd3	1
chr1:180196020-180196020	ENSMUSG00000026489	Adck3	-1
chr2:57115038-57115038	ENSMUSG00000026826	Nr4a2	-1
chr6:68425605-68425605	ENSMUSG00000076522	Igkv16-104	1
chr6:68939602-68939602	ENSMUSG00000076538	Igkv13-84	1
chr11:32200222-32200222	ENSMUSG00000020279	Il9r	-1
chr17:8243807-8243807	ENSMUSG00000040899	Ccr6	1
chr12:80108034-80108034	ENSMUSG00000097417	Gm26669	1
chr6:69815100-69815100	ENSMUSG00000096422	Igkv12-44	-1
chr6:68256404-68256404	ENSMUSG00000095771	Igkv14-111	1
chr6:70260933-70260933	ENSMUSG00000095630	Igkv6-23	-1
chr4:44529159-44529159	ENSMUSG00000099065	Gm19980	-1
chrX:170009659-170009659	ENSMUSG00000095562	Gm21887	1
chr1:178318549-178318549	ENSMUSG00000086350	B230369F24Rik	-1
chr11:106314762-106314762	ENSMUSG00000040592	Cd79b	-1
chr19:40994148-40994148	ENSMUSG00000061132	Blnk	-1
chr7:43408204-43408204	ENSMUSG00000030468	Siglecg	1
chr6:70371469-70371469	ENSMUSG00000095794	Igkv6-17	1
chr6:69727125-69727125	ENSMUSG00000076563	Igkv5-48	-1
chr6:69305363-69305363	ENSMUSG00000076549	Igkv4-68	-1
chr7:30861564-30861564	ENSMUSG00000044453	Ffar1	-1
chr19:4169566-4169566	ENSMUSG00000097233	Gm17552	1
chr6:128975029-128975029	ENSMUSG00000085786	Gm15987	-1
chr12:114141122-114141122	ENSMUSG00000096459	Ighv9-3	-1
chr19:53454094-53454094	ENSMUSG00000097636	5830416P10Rik	-1
chr19:4175479-4175479	ENSMUSG00000075289	Carns1	-1
chr5:107724343-107724343	ENSMUSG00000029275	Gfi1	-1
chr7:4460674-4460674	ENSMUSG00000006154	Eps8l1	1
chr7:30413788-30413788	ENSMUSG00000030579	Tyrobp	1
chr15:78325990-78325990	ENSMUSG00000071713	Csf2rb	1
chr6:67861159-67861159	ENSMUSG00000076508	Igkv17-127	1
chr4:132974102-132974102	ENSMUSG00000028874	Fgr	1
chr10:80702693-80702693	ENSMUSG00000055862	Izumo4	1
chr12:114788805-114788805	ENSMUSG00000094546	Ighv1-26	-1
