tss_loc	ensg	name	strand
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr9:21927535-21927535	ENSMUSG00000040883	Tmem205	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr11:90390895-90390895	ENSMUSG00000003949	Hlf	-1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr17:26199087-26199087	ENSMUSG00000024184	Pdia2	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr10:5593728-5593728	ENSMUSG00000046916	Myct1	1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr11:53480274-53480274	ENSMUSG00000044352	Sowaha	-1
chr6:87778136-87778136	ENSMUSG00000030054	Gp9	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr18:56925548-56925548	ENSMUSG00000032656	March3	-1
chr14:46760541-46760541	ENSMUSG00000037628	Cdkn3	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr14:50955992-50955992	ENSMUSG00000068417	Pnp2	1
chr9:66158223-66158223	ENSMUSG00000032380	Dapk2	1
chr12:78906964-78906964	ENSMUSG00000021118	Plek2	-1
chr5:137294629-137294629	ENSMUSG00000051502	Ufsp1	1
chr8:80494045-80494045	ENSMUSG00000051839	Gypa	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
chr13:74062285-74062285	ENSMUSG00000021572	Cep72	-1
chr18:49755601-49755601	ENSMUSG00000024505	Dtwd2	-1
chr7:18884690-18884690	ENSMUSG00000030413	Pglyrp1	1
chr5:76658355-76658355	ENSMUSG00000103529	RP23-136I1.2	-1
chr6:134929092-134929092	ENSMUSG00000098318	1190002F15Rik	1
chr13:22041362-22041362	ENSMUSG00000060639	Hist1h4i	-1
chr14:55874735-55874735	ENSMUSG00000097542	Gm26751	-1
chr19:5727206-5727206	ENSMUSG00000089766	Gm16538	1
chr18:61953075-61953075	ENSMUSG00000045629	Sh3tc2	1
chr11:54028090-54028090	ENSMUSG00000020334	Slc22a4	-1
chr10:79874476-79874476	ENSMUSG00000057729	Prtn3	1
chr11:87793581-87793581	ENSMUSG00000009350	Mpo	1
chr15:77753072-77753072	ENSMUSG00000056656	Apol8	-1
chr4:156255338-156255338	ENSMUSG00000096351	Samd11	-1
chr11:83286726-83286726	ENSMUSG00000082101	Slfn14	-1
chr12:104926142-104926142	ENSMUSG00000100975	Gm28875	-1
chr14:69503320-69503320	ENSMUSG00000093954	Gm28049	-1
chr4:46404236-46404236	ENSMUSG00000028332	Hemgn	-1
chr11:4118831-4118831	ENSMUSG00000003585	Sec14l2	-1
chr5:149265058-149265058	ENSMUSG00000060063	Alox5ap	1
chr4:119190011-119190011	ENSMUSG00000028644	Ermap	-1
chr17:50698525-50698525	ENSMUSG00000044645	Gm7334	1
chr11:68973012-68973012	ENSMUSG00000032892	Rangrf	-1
chr12:85280435-85280435	ENSMUSG00000008822	Acyp1	-1
chr18:54422295-54422295	ENSMUSG00000096982	Redrum	1
chr1:131638306-131638306	ENSMUSG00000004552	Ctse	1
chr14:70457476-70457476	ENSMUSG00000003469	Phyhip	1
chr9:66069731-66069731	ENSMUSG00000039452	Snx22	-1
chr7:30413788-30413788	ENSMUSG00000030579	Tyrobp	1
chr15:78325990-78325990	ENSMUSG00000071713	Csf2rb	1
chr17:40811126-40811126	ENSMUSG00000023926	Rhag	1
chr11:58917908-58917908	ENSMUSG00000020490	Btnl10	1
chr4:118457513-118457513	ENSMUSG00000006389	Mpl	-1
chr18:61786611-61786611	ENSMUSG00000033032	Afap1l1	-1
chr11:32286965-32286965	ENSMUSG00000073063	Hbq1b	1
chr11:117797660-117797660	ENSMUSG00000025573	6030468B19Rik	1
chr11:58640465-58640465	ENSMUSG00000037124	Trim58	1
chr17:12507704-12507704	ENSMUSG00000023828	Slc22a3	-1
chr2:121037072-121037072	ENSMUSG00000023216	Epb4.2	-1
chr17:36869574-36869574	ENSMUSG00000073400	Trim10	1
chr7:103813996-103813996	ENSMUSG00000073940	Hbb-bt	-1
chr7:109782025-109782025	ENSMUSG00000034825	Nrip3	-1
chr15:77643286-77643286	ENSMUSG00000091694	Apol11b	-1
chr4:138250403-138250403	ENSMUSG00000045349	Sh2d5	1
chr5:137569851-137569851	ENSMUSG00000029716	Tfr2	1
chr6:41704339-41704339	ENSMUSG00000029866	Kel	-1
chr4:134864536-134864536	ENSMUSG00000028825	Rhd	1
chr9:48340898-48340898	ENSMUSG00000032028	Nxpe2	-1
chr2:84838850-84838850	ENSMUSG00000027075	Slc43a1	1
chr4:115057811-115057811	ENSMUSG00000028717	Tal1	1
chr8:84901928-84901928	ENSMUSG00000054191	Klf1	1
chr5:90772435-90772435	ENSMUSG00000029373	Pf4	1
chr1:164115264-164115264	ENSMUSG00000026580	Selp	1
chr2:164356507-164356507	ENSMUSG00000017002	Slpi	-1
chr2:84734058-84734058	ENSMUSG00000034059	Ypel4	1
chr8:71406010-71406010	ENSMUSG00000046295	Ankle1	1
chr17:48451522-48451522	ENSMUSG00000023995	Tspo2	-1
chrX:8271133-8271133	ENSMUSG00000031170	Slc38a5	1
chr5:134915526-134915526	ENSMUSG00000008843	Cldn13	-1
chr15:82341179-82341179	ENSMUSG00000049687	Fam109b	1
chr11:115899966-115899966	ENSMUSG00000048442	Smim5	1
chr10:79886312-79886312	ENSMUSG00000020125	Elane	1
chr6:16898441-16898441	ENSMUSG00000029553	Tfec	-1
chr2:84980461-84980461	ENSMUSG00000027073	Prg2	1
chrX:7967910-7967910	ENSMUSG00000031162	Gata1	-1
chr12:4874358-4874358	ENSMUSG00000037336	Mfsd2b	-1
chr18:78123426-78123426	ENSMUSG00000059336	Slc14a1	-1
chr2:91945703-91945703	ENSMUSG00000095332	Gm9821	1
chr5:8893721-8893721	ENSMUSG00000042476	Abcb4	1
