tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr3:96670131-96670131	ENSMUSG00000038354	Ankrd35	1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr16:36131241-36131241	ENSMUSG00000034362	Csta1	-1
chr2:130012349-130012349	ENSMUSG00000027401	Tgm3	1
chr7:109170308-109170308	ENSMUSG00000036111	Lmo1	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr3:90526849-90526849	ENSMUSG00000042306	S100a14	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr15:101850786-101850786	ENSMUSG00000046834	Krt1	-1
chr11:55336564-55336564	ENSMUSG00000055333	Fat2	-1
chr2:85519024-85519024	ENSMUSG00000075217	4833423E24Rik	-1
chr19:5349574-5349574	ENSMUSG00000024846	Cst6	-1
chr9:104102560-104102560	ENSMUSG00000079355	Ackr4	-1
chr5:90640487-90640487	ENSMUSG00000029370	Rassf6	-1
chr12:104263122-104263122	ENSMUSG00000079014	Serpina3i	1
chr15:101370125-101370125	ENSMUSG00000037185	Krt80	-1
chr3:93015687-93015687	ENSMUSG00000027913	Crct1	-1
chr17:35552128-35552128	ENSMUSG00000039518	Cdsn	1
chr17:35065388-35065388	ENSMUSG00000092586	Ly6g6c	1
chr4:127354081-127354081	ENSMUSG00000046623	Gjb4	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr14:57133611-57133611	ENSMUSG00000040055	Gjb6	-1
chr6:67535822-67535822	ENSMUSG00000051397	Tacstd2	-1
chr16:5132481-5132481	ENSMUSG00000039457	Ppl	-1
chr19:7105729-7105729	ENSMUSG00000047787	Flrt1	-1
chr3:88334504-88334504	ENSMUSG00000001420	Tmem79	-1
chr6:113471427-113471427	ENSMUSG00000030281	Il17rc	1
chr1:106861173-106861173	ENSMUSG00000067006	Serpinb5	1
chr11:100135928-100135928	ENSMUSG00000054146	Krt15	-1
chr7:28863853-28863853	ENSMUSG00000053522	Lgals7	1
chr19:47692094-47692094	ENSMUSG00000025064	Col17a1	-1
chr11:99389364-99389364	ENSMUSG00000019761	Krt10	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr14:34355433-34355433	ENSMUSG00000043681	Fam25c	-1
chr7:140835018-140835018	ENSMUSG00000025481	Urah	1
chr4:138757626-138757626	ENSMUSG00000028749	Pla2g2f	-1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr8:68276567-68276567	ENSMUSG00000053886	Sh2d4a	1
chr1:130731976-130731976	ENSMUSG00000042510	AA986860	1
chr12:36314169-36314169	ENSMUSG00000036169	Sostdc1	1
chr10:24223517-24223517	ENSMUSG00000020000	Moxd1	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr3:92083142-92083142	ENSMUSG00000043165	Lor	-1
chr1:71414910-71414910	ENSMUSG00000050296	Abca12	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:135919207-135919207	ENSMUSG00000026413	Pkp1	-1
chr9:43310763-43310763	ENSMUSG00000032013	Trim29	1
chr11:100206030-100206030	ENSMUSG00000045545	Krt14	-1
chr15:101712891-101712891	ENSMUSG00000061527	Krt5	-1
chr11:100261029-100261029	ENSMUSG00000035557	Krt17	-1
chr18:20002097-20002097	ENSMUSG00000059898	Dsc3	-1
chr16:25801916-25801916	ENSMUSG00000022510	Trp63	1
chr4:127329161-127329161	ENSMUSG00000042367	Gjb3	-1
chr2:172549593-172549593	ENSMUSG00000028640	Tfap2c	1
chr1:72212307-72212307	ENSMUSG00000039395	Mreg	-1
chr14:34085981-34085981	ENSMUSG00000021950	Anxa8	1
chr14:70554056-70554056	ENSMUSG00000022096	Hr	1
chr4:155010984-155010984	ENSMUSG00000029055	Plch2	-1
chr2:6130211-6130211	ENSMUSG00000045319	Proser2	-1
chr7:4164860-4164860	ENSMUSG00000063838	Cdc42ep5	-1
chr15:101940324-101940324	ENSMUSG00000061397	Krt79	-1
chr13:72628820-72628820	ENSMUSG00000001504	Irx2	1
chr9:108953586-108953586	ENSMUSG00000025650	Col7a1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr7:19404104-19404104	ENSMUSG00000040714	Klc3	-1
chr17:3397207-3397207	ENSMUSG00000023800	Tiam2	1
chr7:141117806-141117806	ENSMUSG00000054662	Ano9	-1
chr11:69858730-69858730	ENSMUSG00000001583	Tnk1	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr10:3366150-3366150	ENSMUSG00000040653	Ppp1r14c	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr15:97908310-97908310	ENSMUSG00000022479	Vdr	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr11:46166508-46166508	ENSMUSG00000020411	Nipal4	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chr9:62026856-62026856	ENSMUSG00000032278	Paqr5	-1
chr2:119271272-119271272	ENSMUSG00000034226	Rhov	-1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr18:62922327-62922327	ENSMUSG00000071847	Apcdd1	1
chr15:39006333-39006333	ENSMUSG00000022297	Fzd6	1
chr11:116238077-116238077	ENSMUSG00000034282	Evpl	-1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr15:37233159-37233159	ENSMUSG00000089804	Gm16136	-1
chr2:139493913-139493913	ENSMUSG00000039092	Sptlc3	1
chr12:112929495-112929495	ENSMUSG00000002799	Jag2	-1
chr4:137277489-137277489	ENSMUSG00000036856	Wnt4	1
chr18:12333819-12333819	ENSMUSG00000024421	Lama3	1
chr2:5137776-5137776	ENSMUSG00000026676	Ccdc3	1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr11:76179671-76179671	ENSMUSG00000069808	Fam57a	1
chr15:34678706-34678706	ENSMUSG00000038879	Nipal2	-1
chr3:85673988-85673988	ENSMUSG00000051000	Fam160a1	-1
chr7:30763756-30763756	ENSMUSG00000060962	Dmkn	1
chr2:49787688-49787688	ENSMUSG00000026765	Lypd6b	1
chr8:106510913-106510913	ENSMUSG00000061048	Cdh3	1
chr11:115974709-115974709	ENSMUSG00000020758	Itgb4	1
chr1:153186047-153186047	ENSMUSG00000026479	Lamc2	-1
chr11:99089306-99089306	ENSMUSG00000017607	Tns4	-1
chr16:97763491-97763491	ENSMUSG00000005251	Ripk4	-1
chr18:13972733-13972733	ENSMUSG00000024420	Zfp521	-1
chr7:45759612-45759612	ENSMUSG00000003271	Sult2b1	-1
chr7:43811444-43811444	ENSMUSG00000030713	Klk7	1
chr13:95525240-95525240	ENSMUSG00000021678	F2rl1	-1
chr2:132945906-132945906	ENSMUSG00000027356	Fermt1	-1
chr7:19359749-19359749	ENSMUSG00000040734	Ppp1r13l	1
chr5:137072272-137072272	ENSMUSG00000037411	Serpine1	-1
chr12:112777636-112777636	ENSMUSG00000072812	Ahnak2	-1
chr4:154170730-154170730	ENSMUSG00000057751	Megf6	1
chrX:101849385-101849385	ENSMUSG00000079481	Nhsl2	1
chr7:127930113-127930113	ENSMUSG00000030800	Prss8	-1
chr17:47436615-47436615	ENSMUSG00000034382	AI661453	1
chr17:28769307-28769307	ENSMUSG00000004864	Mapk13	1
chr7:105787654-105787654	ENSMUSG00000036862	Dchs1	-1
chr7:112953962-112953962	ENSMUSG00000098132	Rassf10	1
