tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr17:48247777-48247777	ENSMUSG00000041754	Trem3	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr7:104369884-104369884	ENSMUSG00000052749	Trim30b	-1
chr1:4779212-4779212	ENSMUSG00000102275	RP23-34E15.5	-1
chr2:140152043-140152043	ENSMUSG00000078197	Gm17374	1
chr10:61171954-61171954	ENSMUSG00000020096	Tbata	1
chr16:77846693-77846693	ENSMUSG00000091193	Gm17333	1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr2:131054036-131054036	ENSMUSG00000027318	Adam33	-1
chr17:29318877-29318877	ENSMUSG00000024011	Pi16	1
chr13:47122720-47122720	ENSMUSG00000038068	Rnf144b	1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr9:100703213-100703213	ENSMUSG00000104272	RP23-116P18.4	1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr9:44288615-44288615	ENSMUSG00000032131	Abcg4	-1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr1:195176716-195176716	ENSMUSG00000026616	Cr2	-1
chr4:129057983-129057983	ENSMUSG00000085085	1700086P04Rik	-1
chr1:86893573-86893573	ENSMUSG00000102649	RP23-26I10.5	1
chr5:25661275-25661275	ENSMUSG00000059244	Gm10062	-1
chr1:158551966-158551966	ENSMUSG00000102618	RP23-411L6.3	-1
chr1:51195221-51195221	ENSMUSG00000099625	Gm29325	1
chr1:164575455-164575455	ENSMUSG00000102389	RP24-272N10.6	1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr1:39193731-39193731	ENSMUSG00000026077	Npas2	1
chr2:59484653-59484653	ENSMUSG00000026989	Dapl1	1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr2:55411815-55411815	ENSMUSG00000087040	Gm14033	1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr16:3718124-3718124	ENSMUSG00000022534	Mefv	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
