ensg	name	tss_loc	strand	ivd cardio CM	ivd cardio ESC	ivd cardio MES	ivd exendo ctrl	ivd exendo prdm14kd	ivd mneu ESCD0	ivd mneu MND4	ivd ra ctrl	ivd ra D4
ENSMUSG00000074305	Peak1	chr9:56244065-56244065	-1	1029.0	1942.0	559.0	1688.0	1432.0	795.0	316.0	706.5	1366.5
ENSMUSG00000040867	Begain	chr12:109068217-109068217	-1	32.0	71.0	20.0	76.0	40.0	16.5	952.0	35.5	20.0
ENSMUSG00000092035	Peg10	chr6:4747306-4747306	1	69784.0	2597.0	15573.0	11187.0	107864.0	3394.0	6850.5	18009.0	69784.0
ENSMUSG00000019370	Calm3	chr7:16924114-16924114	-1	4194.0	5601.0	8110.0	6746.0	6423.0	6416.5	13646.5	4707.0	4801.0
ENSMUSG00000023906	Cldn6	chr17:23679365-23679365	1	106.0	192.0	2505.0	73.0	1160.0	1472.0	10.0	724.5	6242.0
ENSMUSG00000030835	Nomo1	chr7:46033698-46033698	1	2864.0	3537.0	4189.0	2704.0	3283.0	2475.0	1273.0	3654.5	6096.0
ENSMUSG00000036959	Bcorl1	chrX:48341358-48341358	1	1069.0	159.0	578.0	655.0	367.0	374.0	589.0	119.0	281.0
ENSMUSG00000047824	Pygo2	chr3:89430214-89430214	1	1883.0	1848.0	2856.0	1307.0	1287.0	1408.0	1378.0	2046.0	1540.0
ENSMUSG00000002608	Ccdc97	chr7:25719088-25719088	-1	1126.0	800.0	1054.0	841.0	918.0	916.5	1037.5	1293.0	1297.5
ENSMUSG00000032020	Ubash3b	chr9:41158062-41158062	-1	1179.0	69.0	83.0	14.0	34.0	77.5	477.5	38.5	636.0
ENSMUSG00000061544	Zfp229	chr17:21730795-21730795	1	339.0	1630.0	312.0	2165.0	1692.0	814.0	367.5	2484.0	579.0
ENSMUSG00000001175	Calm1	chr12:100199435-100199435	1	3400.0	6569.0	9375.0	6234.0	8024.0	14691.0	27587.0	8171.5	12267.0
ENSMUSG00000022346	Myc	chr15:61985391-61985391	1	49.0	645.0	2958.0	163.0	547.0	1074.5	122.5	793.5	673.5
ENSMUSG00000037197	Rbm17	chr2:11603262-11603262	-1	2393.0	3557.0	4023.0	5348.0	5899.0	3499.5	2331.0	5168.0	3369.5
ENSMUSG00000020224	Llph	chr10:120227070-120227070	1	495.0	1512.0	1525.0	1656.0	1810.0	2234.0	1248.5	2352.5	872.0
ENSMUSG00000024797	Vps51	chr19:6080324-6080324	-1	1030.0	703.0	884.0	273.0	337.0	743.0	1044.0	742.0	893.5
ENSMUSG00000093726	Gm20667	chr14:67675106-67675106	-1	364.0	415.0	422.0	339.0	317.0	248.0	148.5	349.0	267.5
ENSMUSG00000062210	Tnfaip8	chr18:49979427-49979427	1	550.0	100.0	216.0	89.0	125.0	113.0	63.5	57.0	394.0
ENSMUSG00000037169	Mycn	chr12:12941914-12941914	-1	982.0	1165.0	3351.0	3784.0	4818.0	2119.0	719.5	4930.0	2040.0
ENSMUSG00000038181	Chpf2	chr5:24586741-24586741	1	583.0	253.0	400.0	169.0	110.0	315.0	489.5	120.5	1089.5
ENSMUSG00000068614	Actc1	chr2:114052887-114052887	-1	69791.0	1.0	82.0	0.0	2.0	815.5	22.0	19.0	1337.0
ENSMUSG00000042712	Wbp5	chrX:136245079-136245079	1	13564.0	2160.0	5466.0	2764.0	2624.0	6200.5	4158.0	2138.0	8321.0
ENSMUSG00000079523	Tmsb10	chr6:72958488-72958488	-1	7408.0	8701.0	6656.0	12251.0	10558.0	8433.0	26538.0	8021.0	8318.0
ENSMUSG00000036181	Hist1h1c	chr13:23738808-23738808	1	271.0	66.0	29.0	23.0	26.0	172.0	39.5	317.0	823.5
ENSMUSG00000043439	E130012A19Rik	chr11:97629702-97629702	-1	74.0	8311.0	2188.0	3310.0	4290.0	4853.5	319.5	7272.0	3078.5
ENSMUSG00000066324	Impad1	chr4:4793355-4793355	-1	8097.0	1533.0	5742.0	1312.0	1438.0	1955.0	2742.0	2625.0	5295.0
ENSMUSG00000050192	Eif5a2	chr3:28781276-28781276	1	704.0	436.0	800.0	413.0	329.0	743.0	343.0	477.0	259.5
ENSMUSG00000092203	1110038B12Rik	chr17:34951244-34951244	-1	1203.0	1829.0	1560.0	1291.0	1143.0	2534.5	1562.0	2020.0	794.0
ENSMUSG00000035293	G2e3	chr12:51348061-51348061	1	2647.0	1628.0	2759.0	2580.0	3177.0	3709.0	1612.5	1602.0	1496.5
ENSMUSG00000086503	Xist	chrX:103466667-103466667	-1	27.0	76.0	34.0	2946.0	9782.0	357.0	31.5	527.0	137.0
ENSMUSG00000070509	Rgma	chr7:73375520-73375520	1	195.0	27.0	208.0	44.0	46.0	1273.5	4926.5	158.5	343.0
ENSMUSG00000030603	Psmc4	chr7:28050101-28050101	-1	1515.0	6209.0	7923.0	4848.0	5253.0	7956.0	6113.5	5440.0	4144.5
ENSMUSG00000028647	Mycbp	chr4:123904832-123904832	1	234.0	340.0	673.0	231.0	253.0	1619.5	257.5	496.5	389.5
ENSMUSG00000006998	Psmd2	chr16:20651652-20651652	1	8112.0	10249.0	16986.0	9560.0	8807.0	8848.0	10863.5	10822.5	10249.0
ENSMUSG00000028020	Glrb	chr3:80913614-80913614	-1	471.0	507.0	279.0	453.0	539.0	372.0	567.5	461.0	714.5
ENSMUSG00000051306	Usp42	chr5:143732280-143732280	-1	761.0	605.0	934.0	665.0	601.0	724.5	958.5	795.0	670.5
ENSMUSG00000104498	RP23-109J14.3	chr1:32485315-32485315	1	292.0	995.0	361.0	3137.0	3310.0	1542.5	1686.5	1397.0	1057.5
ENSMUSG00000042364	Snx18	chr13:113618564-113618564	-1	2227.0	1080.0	1637.0	1183.0	1485.0	862.5	2361.5	1925.5	3122.0
ENSMUSG00000029029	Wrap73	chr4:154142372-154142372	1	98.0	370.0	399.0	253.0	251.0	347.5	295.5	395.5	305.0
ENSMUSG00000021062	Rab15	chr12:76822553-76822553	-1	836.0	521.0	897.0	252.0	694.0	648.0	296.0	297.0	774.0
ENSMUSG00000075012	Fjx1	chr2:102452499-102452499	-1	60.0	117.0	576.0	23.0	53.0	526.5	1760.0	327.0	219.0
ENSMUSG00000097163	BC051077	chr5:117315539-117315539	-1	30.0	259.0	421.0	491.0	346.0	1975.5	149.5	648.5	108.0
ENSMUSG00000021549	Rasa1	chr13:85289029-85289029	-1	1919.0	1836.0	2413.0	1591.0	1562.0	1568.0	2584.5	1826.0	1952.0
ENSMUSG00000033126	Ybey	chr10:76469114-76469114	-1	96.0	160.0	428.0	223.0	302.0	340.5	230.5	233.0	126.5
ENSMUSG00000031438	Rnf128	chrX:139563316-139563316	1	699.0	203.0	715.0	164.0	309.0	156.0	33.0	357.5	2331.0
ENSMUSG00000040009	Gnaz	chr10:74967177-74967177	1	36.0	39.0	19.0	49.0	68.0	75.5	732.5	70.5	53.5
ENSMUSG00000062518	Zfp534	chr4:147702553-147702553	-1	298.0	2017.0	715.0	4103.0	4768.0	3509.0	33.0	4254.5	705.5
ENSMUSG00000097908	4933404O12Rik	chr5:136920643-136920643	1	325.0	864.0	1394.0	803.0	670.0	786.5	138.5	572.0	157.0
ENSMUSG00000020387	Jade2	chr11:51857653-51857653	-1	90.0	278.0	1563.0	714.0	560.0	1166.5	11.5	986.5	77.0
ENSMUSG00000090386	Mir99ahg	chr16:77236317-77236317	1	175.0	235.0	44.0	243.0	214.0	302.0	1150.0	118.5	308.5
ENSMUSG00000025410	Dctn2	chr10:127266262-127266262	1	3806.0	5181.0	3366.0	4401.0	4305.0	3059.5	6014.0	3541.0	5127.0
ENSMUSG00000024767	Otub1	chr19:7206316-7206316	-1	2779.0	2360.0	2805.0	2321.0	2080.0	4227.5	6687.0	3029.0	2559.0
ENSMUSG00000001288	Rarg	chr15:102257517-102257517	-1	582.0	6118.0	1366.0	2837.0	3876.0	3306.0	70.5	3723.0	436.5
ENSMUSG00000025574	Tk1	chr11:117826092-117826092	-1	240.0	1636.0	1283.0	1467.0	1427.0	2793.0	500.5	1145.0	708.0
ENSMUSG00000024597	Slc12a2	chr18:57878678-57878678	1	1065.0	1242.0	1003.0	785.0	1001.0	605.5	566.5	2366.0	2289.0
ENSMUSG00000034023	Fancd2	chr6:113531682-113531682	1	640.0	3106.0	1196.0	2299.0	2030.0	1399.5	137.5	1569.5	643.5
ENSMUSG00000055917	Zfp277	chr12:40445790-40445790	-1	663.0	1925.0	863.0	1767.0	1839.0	1484.5	753.0	1266.5	947.0
ENSMUSG00000004934	Pias4	chr10:81167923-81167923	-1	1195.0	1935.0	1004.0	1287.0	1199.0	1236.0	1468.0	1450.5	1052.5
ENSMUSG00000036934	4921524J17Rik	chr8:85432841-85432841	-1	1063.0	435.0	314.0	470.0	388.0	391.5	283.5	621.0	440.5
ENSMUSG00000021572	Cep72	chr13:74062285-74062285	-1	386.0	340.0	253.0	470.0	335.0	450.5	182.0	196.0	183.0
ENSMUSG00000039954	Stk32a	chr18:43207697-43207697	1	46.0	69.0	288.0	32.0	37.0	46.5	1532.0	60.5	86.5
ENSMUSG00000002679	Med6	chr12:81595006-81595006	-1	530.0	893.0	857.0	640.0	601.0	1949.5	859.5	899.0	662.5
ENSMUSG00000037997	Parp11	chr6:127453723-127453723	1	385.0	130.0	440.0	201.0	151.0	200.5	1008.0	101.0	185.5
ENSMUSG00000005054	Cstb	chr10:78425670-78425670	1	718.0	1326.0	1925.0	1942.0	1991.0	3192.5	639.0	1049.0	1530.0
ENSMUSG00000028184	Lphn2	chr3:148954635-148954635	-1	2458.0	371.0	3848.0	235.0	1232.0	3537.0	1633.5	556.0	4918.5
ENSMUSG00000029436	Mmp17	chr5:129584169-129584169	1	277.0	373.0	138.0	924.0	622.0	126.0	255.0	195.5	257.0
ENSMUSG00000022844	Pdia5	chr16:35490873-35490873	-1	368.0	297.0	207.0	346.0	364.0	241.5	104.5	337.0	1957.5
ENSMUSG00000023902	Zscan10	chr17:23600856-23600856	1	26.0	2398.0	2068.0	2573.0	2703.0	2983.5	0.0	3737.0	363.0
ENSMUSG00000024785	Rcl1	chr19:29101375-29101375	1	492.0	1617.0	3344.0	1184.0	1174.0	2548.0	302.0	2052.5	1037.0
ENSMUSG00000092225	Gm2381	chr7:42867234-42867234	-1	55.0	724.0	117.0	987.0	1390.0	509.5	18.5	779.0	209.0
ENSMUSG00000023104	Rfc2	chr5:134582690-134582690	1	1619.0	2476.0	2671.0	2727.0	2572.0	3375.0	1964.0	1906.5	1355.5
ENSMUSG00000041712	Ubr7	chr12:102757975-102757975	1	3557.0	6746.0	5348.0	5115.0	4826.0	7712.5	1783.0	4263.5	1626.5
ENSMUSG00000043671	Dpy19l3	chr7:35754454-35754454	-1	425.0	312.0	895.0	206.0	251.0	288.0	408.0	282.5	431.5
ENSMUSG00000048012	Zfp473	chr7:44744230-44744230	-1	190.0	727.0	567.0	1959.0	1899.0	771.0	67.0	596.0	180.0
ENSMUSG00000023020	Cox14	chr15:99725618-99725618	1	550.0	537.0	253.0	467.0	436.0	1096.0	792.5	510.0	405.5
ENSMUSG00000028890	Mtf1	chr4:124802104-124802104	1	305.0	485.0	387.0	578.0	474.0	264.5	263.5	518.5	371.5
ENSMUSG00000026248	Mrpl44	chr1:79776018-79776018	1	568.0	723.0	981.0	443.0	420.0	1008.0	488.5	732.0	349.0
