tss_loc	ensg	name	strand
chr16:36784962-36784962	ENSMUSG00000022899	Slc15a2	-1
chr17:48247777-48247777	ENSMUSG00000041754	Trem3	1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr3:14808365-14808365	ENSMUSG00000027556	Car1	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chr17:57228136-57228136	ENSMUSG00000024164	C3	-1
chr6:138140316-138140316	ENSMUSG00000008540	Mgst1	1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr7:104279788-104279788	ENSMUSG00000060441	Trim5	-1
chr17:35470089-35470089	ENSMUSG00000067235	H2-Q10	1
chr5:43868809-43868809	ENSMUSG00000029084	Cd38	1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr16:3718124-3718124	ENSMUSG00000022534	Mefv	-1
chr19:41385070-41385070	ENSMUSG00000025017	Pik3ap1	-1
chr13:37345345-37345345	ENSMUSG00000021423	Ly86	1
chr12:112760655-112760655	ENSMUSG00000052160	Pld4	1
chr6:122602444-122602444	ENSMUSG00000040613	Apobec1	-1
chr9:109849456-109849456	ENSMUSG00000038357	Camp	-1
chr9:3015654-3015654	ENSMUSG00000074564	Gm10720	1
chr9:3036877-3036877	ENSMUSG00000096201	Gm10715	1
chr9:3013140-3013140	ENSMUSG00000096519	Gm10721	1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr7:43351341-43351341	ENSMUSG00000039013	Siglecf	1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr13:56178885-56178885	ENSMUSG00000049625	Tifab	-1
chr3:127789872-127789872	ENSMUSG00000046688	Tifa	1
chr4:126024550-126024550	ENSMUSG00000028859	Csf3r	1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr5:137871758-137871758	ENSMUSG00000066682	Pilrb2	-1
chr5:137858049-137858049	ENSMUSG00000066684	Pilrb1	-1
chr13:100317674-100317674	ENSMUSG00000078942	Naip6	-1
chr3:15574985-15574985	ENSMUSG00000095028	Sirpb1b	-1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr14:77904239-77904239	ENSMUSG00000022014	Epsti1	1
chr19:11516512-11516512	ENSMUSG00000024677	Ms4a6b	1
chr15:9529876-9529876	ENSMUSG00000003882	Il7r	-1
chr2:122426477-122426477	ENSMUSG00000027219	Slc28a2	1
chr11:11627824-11627824	ENSMUSG00000062511	4930512M02Rik	-1
chr14:46760541-46760541	ENSMUSG00000037628	Cdkn3	1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr11:104550663-104550663	ENSMUSG00000061086	Myl4	1
chr9:103480420-103480420	ENSMUSG00000032556	Bfsp2	-1
chrX:106143229-106143229	ENSMUSG00000033777	Tlr13	1
chr11:83703991-83703991	ENSMUSG00000069792	Wfdc17	1
