tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr11:110168196-110168196	ENSMUSG00000041797	Abca9	-1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr10:22820128-22820128	ENSMUSG00000045680	Tcf21	-1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr3:102086415-102086415	ENSMUSG00000027861	Casq2	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr3:116562973-116562973	ENSMUSG00000027961	Lrrc39	1
chr16:38362209-38362209	ENSMUSG00000022803	Popdc2	1
chr11:69948175-69948175	ENSMUSG00000018566	Slc2a4	-1
chr6:137252299-137252299	ENSMUSG00000030223	Ptpro	1
chr17:81649607-81649607	ENSMUSG00000054640	Slc8a1	-1
chr17:48432728-48432728	ENSMUSG00000040694	Apobec2	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chrX:38252429-38252429	ENSMUSG00000036502	Tmem255a	-1
chr11:82910550-82910550	ENSMUSG00000018845	Unc45b	1
chr3:89831370-89831370	ENSMUSG00000046280	She	1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr2:27079379-27079379	ENSMUSG00000036040	Adamtsl2	1
chr12:58269258-58269258	ENSMUSG00000045930	Clec14a	-1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chrX:114474333-114474333	ENSMUSG00000025597	Klhl4	1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr3:144760977-144760977	ENSMUSG00000056025	Clca1	-1
chr4:115640428-115640428	ENSMUSG00000028713	Cyp4b1	-1
chr14:20668306-20668306	ENSMUSG00000039376	Synpo2l	-1
chr6:71262281-71262281	ENSMUSG00000055027	Smyd1	-1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr5:127241808-127241808	ENSMUSG00000034324	Tmem132c	1
