tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chr13:53473074-53473074	ENSMUSG00000021469	Msx2	-1
chr17:56875477-56875477	ENSMUSG00000024209	1700061G19Rik	1
chrX:29151825-29151825	ENSMUSG00000097037	Gm26818	-1
chr13:23757620-23757620	ENSMUSG00000075029	4930558J22Rik	-1
chrY:818649-818649	ENSMUSG00000069053	Uba1y	1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr7:4532453-4532453	ENSMUSG00000055809	Dnaaf3	-1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr9:48835945-48835945	ENSMUSG00000066687	Zbtb16	-1
chrX:139210042-139210042	ENSMUSG00000042515	Mum1l1	1
chr10:58813359-58813359	ENSMUSG00000037990	Sh3rf3	1
chrX:143827414-143827414	ENSMUSG00000067276	Capn6	-1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr2:163750239-163750239	ENSMUSG00000017697	Ada	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr4:101055263-101055263	ENSMUSG00000102578	RP23-336G7.4	-1
chr2:24475599-24475599	ENSMUSG00000026976	Pax8	-1
chr19:44756045-44756045	ENSMUSG00000004231	Pax2	1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chrX:6083419-6083419	ENSMUSG00000073294	AU022751	-1
chr15:101054399-101054399	ENSMUSG00000095440	Fignl2	-1
chr3:35932787-35932787	ENSMUSG00000103229	Dcun1d1	-1
chr2:34913976-34913976	ENSMUSG00000026873	Phf19	-1
chr11:4948064-4948064	ENSMUSG00000020396	Nefh	-1
chr10:81393051-81393051	ENSMUSG00000078439	Smim24	1
chr12:83633833-83633833	ENSMUSG00000099708	Gm29361	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr2:168281132-168281132	ENSMUSG00000074575	Kcng1	-1
chr10:42583632-42583632	ENSMUSG00000019803	Nr2e1	-1
