tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr12:101819055-101819055	ENSMUSG00000021186	Fbln5	-1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr17:14694262-14694262	ENSMUSG00000023885	Thbs2	-1
chr6:52234939-52234939	ENSMUSG00000000938	Hoxa10	-1
chr11:96271457-96271457	ENSMUSG00000020875	Hoxb9	1
chr6:17281185-17281185	ENSMUSG00000000058	Cav2	1
chr13:56296551-56296551	ENSMUSG00000021508	Cxcl14	-1
chr9:5345430-5345430	ENSMUSG00000025887	Casp12	1
chr2:148408188-148408188	ENSMUSG00000074743	Thbd	-1
chr17:7804974-7804974	ENSMUSG00000071984	Fndc1	-1
chr16:85901125-85901125	ENSMUSG00000022894	Adamts5	-1
chr9:58313212-58313212	ENSMUSG00000032334	Loxl1	-1
chr16:45844378-45844378	ENSMUSG00000033149	Phldb2	-1
chr11:100415697-100415697	ENSMUSG00000001555	Fkbp10	1
chr6:29433256-29433256	ENSMUSG00000068699	Flnc	1
chr9:45936058-45936058	ENSMUSG00000032085	Tagln	-1
chr17:79715041-79715041	ENSMUSG00000024087	Cyp1b1	-1
chr9:58159221-58159221	ENSMUSG00000037206	Islr	-1
chr15:55307750-55307750	ENSMUSG00000022371	Col14a1	1
chr1:20890606-20890606	ENSMUSG00000025931	Paqr8	1
chr17:8525372-8525372	ENSMUSG00000023868	Pde10a	1
chr1:186705989-186705989	ENSMUSG00000039239	Tgfb2	-1
chr5:147726011-147726011	ENSMUSG00000029648	Flt1	-1
chrX:51681703-51681703	ENSMUSG00000062184	Hs6st2	-1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr1:40324610-40324610	ENSMUSG00000070942	Il1rl2	1
chr1:170644532-170644532	ENSMUSG00000038463	Olfml2b	1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr13:31806691-31806691	ENSMUSG00000050295	Foxc1	1
chr15:79516408-79516408	ENSMUSG00000010830	Kdelr3	1
chr13:49544443-49544443	ENSMUSG00000021388	Aspn	1
chr17:33781575-33781575	ENSMUSG00000002289	Angptl4	-1
chr2:54436317-54436317	ENSMUSG00000060988	Galnt13	1
chr15:101128522-101128522	ENSMUSG00000000530	Acvrl1	1
chr12:33957671-33957671	ENSMUSG00000035799	Twist1	1
chr16:14705852-14705852	ENSMUSG00000022676	Snai2	1
chr10:79777272-79777272	ENSMUSG00000020325	Fstl3	1
chr11:50602084-50602084	ENSMUSG00000036545	Adamts2	1
chr15:10952332-10952332	ENSMUSG00000058914	C1qtnf3	1
chr18:58209926-58209926	ENSMUSG00000024598	Fbn2	-1
chr19:5473973-5473973	ENSMUSG00000024909	Efemp2	1
chr1:162217623-162217623	ENSMUSG00000078190	Dnm3os	1
chr5:5694060-5694060	ENSMUSG00000015653	Steap2	-1
chr14:65953744-65953744	ENSMUSG00000034463	Scara3	-1
chr6:122505845-122505845	ENSMUSG00000030116	Mfap5	1
chr14:123659971-123659971	ENSMUSG00000032925	Itgbl1	1
chr4:128962420-128962420	ENSMUSG00000028789	Azin2	-1
chr1:119422248-119422248	ENSMUSG00000037035	Inhbb	-1
chr7:110627661-110627661	ENSMUSG00000030790	Adm	1
chr9:41376397-41376397	ENSMUSG00000074415	2610203C20Rik	1
chr11:95587735-95587735	ENSMUSG00000000120	Ngfr	-1
chr6:21985916-21985916	ENSMUSG00000062980	Cped1	1
chr15:34306681-34306681	ENSMUSG00000022324	Matn2	1
chr17:14279506-14279506	ENSMUSG00000023886	Smoc2	1
chrX:52613921-52613921	ENSMUSG00000055653	Gpc3	-1
chr1:40429570-40429570	ENSMUSG00000026069	Il1rl1	1
chr13:51408618-51408618	ENSMUSG00000067586	S1pr3	1
chr11:28853204-28853204	ENSMUSG00000020467	Efemp1	1
chr3:107986453-107986453	ENSMUSG00000040562	Gstm2	-1
chr11:35121224-35121224	ENSMUSG00000056427	Slit3	1
chr1:135324807-135324807	ENSMUSG00000048096	Lmod1	1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr15:54745702-54745702	ENSMUSG00000037362	Nov	1
chr15:3581842-3581842	ENSMUSG00000055737	Ghr	-1
chr2:163397949-163397949	ENSMUSG00000017817	Jph2	-1
chr4:47208161-47208161	ENSMUSG00000028339	Col15a1	1
chr13:114458730-114458730	ENSMUSG00000021765	Fst	-1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr17:49564337-49564337	ENSMUSG00000040260	Daam2	-1
chr4:130047840-130047840	ENSMUSG00000040690	Col16a1	1
chr16:23520590-23520590	ENSMUSG00000022887	Masp1	-1
chr14:28504750-28504750	ENSMUSG00000021994	Wnt5a	1
chr1:82291416-82291416	ENSMUSG00000055980	Irs1	-1
chr16:44558897-44558897	ENSMUSG00000022687	Boc	-1
chr6:136875805-136875805	ENSMUSG00000030218	Mgp	-1
chr2:84775404-84775404	ENSMUSG00000023224	Serping1	-1
chr6:124512632-124512632	ENSMUSG00000055172	C1ra	1
chr3:19957054-19957054	ENSMUSG00000003617	Cp	1
chr6:124542321-124542321	ENSMUSG00000038521	C1s1	-1
chr11:109722279-109722279	ENSMUSG00000020614	Fam20a	-1
chr7:112159057-112159057	ENSMUSG00000030772	Dkk3	-1
chrX:10117682-10117682	ENSMUSG00000090084	Srpx	-1
chr7:36698118-36698118	ENSMUSG00000021217	Tshz3	1
chr2:156775420-156775420	ENSMUSG00000067818	Myl9	1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr18:62922327-62922327	ENSMUSG00000071847	Apcdd1	1
chr5:5749326-5749326	ENSMUSG00000015652	Steap1	-1
chr7:84528975-84528975	ENSMUSG00000097789	Gm2115	1
chr9:56865104-56865104	ENSMUSG00000032911	Cspg4	1
chr5:21543527-21543527	ENSMUSG00000039883	Lrrc17	1
chr2:126034658-126034658	ENSMUSG00000027208	Fgf7	1
chr10:97565501-97565501	ENSMUSG00000036446	Lum	1
chr10:38965515-38965515	ENSMUSG00000019846	Lama4	1
chr5:149411749-149411749	ENSMUSG00000029659	Medag	1
chr10:67912662-67912662	ENSMUSG00000037855	Zfp365	-1
chr4:68954397-68954397	ENSMUSG00000028351	Brinp1	-1
chr3:132950291-132950291	ENSMUSG00000040998	Npnt	-1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
chr2:165503787-165503787	ENSMUSG00000027661	Slc2a10	1
chr13:115101964-115101964	ENSMUSG00000042284	Itga1	-1
chr9:102988712-102988712	ENSMUSG00000032548	Slco2a1	1
chr16:14291408-14291408	ENSMUSG00000018830	Myh11	-1
chr9:18397538-18397538	ENSMUSG00000043943	Naalad2	-1
chr2:30834972-30834972	ENSMUSG00000039476	Prrx2	1
chr17:83215292-83215292	ENSMUSG00000024247	Pkdcc	1
chr3:89215180-89215180	ENSMUSG00000028047	Thbs3	1
chr12:71309884-71309884	ENSMUSG00000044548	Dact1	1
chr9:7445822-7445822	ENSMUSG00000043613	Mmp3	1
chr2:76673070-76673070	ENSMUSG00000002732	Fkbp7	-1
chr6:72355447-72355447	ENSMUSG00000055912	Tmem150a	1
chr8:92827328-92827328	ENSMUSG00000031740	Mmp2	1
chr3:66219910-66219910	ENSMUSG00000027832	Ptx3	1
chr1:134037254-134037254	ENSMUSG00000041559	Fmod	1
chr7:110061325-110061325	ENSMUSG00000073867	AA474408	-1
chr16:35981081-35981081	ENSMUSG00000086324	Gm15564	-1
chr1:161814167-161814167	ENSMUSG00000103625	RP24-75E15.5	-1
chr5:137072272-137072272	ENSMUSG00000037411	Serpine1	-1
chr12:112777636-112777636	ENSMUSG00000072812	Ahnak2	-1
chr15:74753046-74753046	ENSMUSG00000022594	Lynx1	-1
chr1:171196268-171196268	ENSMUSG00000038370	Pcp4l1	-1
chr4:4138477-4138477	ENSMUSG00000045573	Penk	-1
chr15:102966796-102966796	ENSMUSG00000022484	Hoxc10	1
chr6:3968357-3968357	ENSMUSG00000029664	Tfpi2	-1
chr7:89510007-89510007	ENSMUSG00000030623	Prss23os	1
chr13:113046388-113046388	ENSMUSG00000021760	Gpx8	-1
chr7:134225097-134225097	ENSMUSG00000054555	Adam12	-1
chr2:12301922-12301922	ENSMUSG00000026768	Itga8	-1
chrX:96455359-96455359	ENSMUSG00000031209	Heph	1
chr7:143685872-143685872	ENSMUSG00000037613	Tnfrsf23	-1
chr3:99253760-99253760	ENSMUSG00000027868	Tbx15	1
chr7:4925844-4925844	ENSMUSG00000035279	Ssc5d	1
chr7:84605827-84605827	ENSMUSG00000030630	Fah	-1
chr16:65815633-65815633	ENSMUSG00000091243	Vgll3	1
