tss_loc	ensg	name	strand
chr6:4747306-4747306	ENSMUSG00000092035	Peg10	1
chr6:30723547-30723547	ENSMUSG00000051855	Mest	1
chr16:74411292-74411292	ENSMUSG00000052516	Robo2	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chrX:143933311-143933311	ENSMUSG00000031285	Dcx	-1
chr10:63386563-63386563	ENSMUSG00000036764	Dnajc12	1
chr9:100571090-100571090	ENSMUSG00000070287	Slc35g2	-1
chr11:78322968-78322968	ENSMUSG00000017390	Aldoc	1
chrX:136822671-136822671	ENSMUSG00000031425	Plp1	1
chr4:138454314-138454314	ENSMUSG00000046447	Camk2n1	1
chr2:65567627-65567627	ENSMUSG00000057182	Scn3a	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr7:19310045-19310045	ENSMUSG00000003545	Fosb	-1
chr16:19760208-19760208	ENSMUSG00000022686	B3gnt5	1
chr7:46238492-46238492	ENSMUSG00000030838	Ush1c	-1
chr11:102107822-102107822	ENSMUSG00000017311	Pyy	-1
chr6:142298423-142298423	ENSMUSG00000041681	Iapp	1
chr2:62483650-62483650	ENSMUSG00000000394	Gcg	-1
chr1:158958367-158958367	ENSMUSG00000073530	Pappa2	-1
chr2:148732467-148732467	ENSMUSG00000027438	Napb	-1
chr1:75507077-75507077	ENSMUSG00000032968	Inha	1
chr6:48537569-48537569	ENSMUSG00000039347	Atp6v0e2	1
chr10:109010975-109010975	ENSMUSG00000035864	Syt1	-1
chr9:86880439-86880439	ENSMUSG00000033419	Snap91	-1
chr3:96181151-96181151	ENSMUSG00000038486	Sv2a	1
chr2:181314500-181314500	ENSMUSG00000027581	Stmn3	-1
chr18:72351069-72351069	ENSMUSG00000060534	Dcc	-1
chr5:116467860-116467860	ENSMUSG00000063919	Srrm4	-1
chr8:106337988-106337988	ENSMUSG00000031906	Smpd3	-1
chr13:54749874-54749874	ENSMUSG00000069227	Gprin1	-1
chr9:83110825-83110825	ENSMUSG00000066456	Hmgn3	-1
chr2:147186101-147186101	ENSMUSG00000027434	Nkx2-2	-1
chr11:115861612-115861612	ENSMUSG00000034427	Myo15b	1
chr2:65620857-65620857	ENSMUSG00000075318	Scn2a1	1
chr1:78310345-78310345	ENSMUSG00000032908	Sgpp2	1
chr6:112489808-112489808	ENSMUSG00000049112	Oxtr	-1
chr1:156205026-156205026	ENSMUSG00000015484	Fam163a	-1
chr6:139587221-139587221	ENSMUSG00000030228	Pik3c2g	1
chr13:110280206-110280206	ENSMUSG00000021700	Rab3c	-1
chr14:12823079-12823079	ENSMUSG00000054423	Cadps	-1
chrX:20921004-20921004	ENSMUSG00000037217	Syn1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr11:100356128-100356128	ENSMUSG00000006930	Hap1	-1
chr18:31447415-31447415	ENSMUSG00000024261	Syt4	-1
chr17:25809085-25809085	ENSMUSG00000025738	Fbxl16	1
chr7:16944682-16944682	ENSMUSG00000070802	Pnmal2	1
chrX:7638471-7638471	ENSMUSG00000031144	Syp	1
chr2:136713453-136713453	ENSMUSG00000027273	Snap25	1
chr7:46180033-46180033	ENSMUSG00000040136	Abcc8	-1
chr9:108826320-108826320	ENSMUSG00000023473	Celsr3	1
chr4:91372034-91372034	ENSMUSG00000008489	Elavl2	-1
chr11:101464999-101464999	ENSMUSG00000001313	Rnd2	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr19:58455398-58455398	ENSMUSG00000025089	Gfra1	-1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr7:28833854-28833854	ENSMUSG00000053964	Lgals4	1
chr13:13784059-13784059	ENSMUSG00000021303	Gng4	1
chr3:31902507-31902507	ENSMUSG00000037610	Kcnmb2	1
chr12:72409054-72409054	ENSMUSG00000021087	Rtn1	-1
chrX:7919822-7919822	ENSMUSG00000039278	Pcsk1n	1
chr8:124439658-124439658	ENSMUSG00000050751	Pgbd5	-1
chrX:136993155-136993155	ENSMUSG00000031428	Zcchc18	1
chr4:101496648-101496648	ENSMUSG00000028528	Dnajc6	1
chr6:124462744-124462744	ENSMUSG00000008153	Clstn3	-1
chr11:6065545-6065545	ENSMUSG00000057897	Camk2b	-1
chr3:94478831-94478831	ENSMUSG00000028137	Celf3	1
chr15:83784829-83784829	ENSMUSG00000041708	Mpped1	1
chr4:110351909-110351909	ENSMUSG00000028546	Elavl4	-1
chr19:10389090-10389090	ENSMUSG00000024743	Syt7	1
chr3:82358044-82358044	ENSMUSG00000033900	Map9	1
chrX:135839056-135839056	ENSMUSG00000072966	Gprasp2	1
chr5:120777661-120777661	ENSMUSG00000032661	Oas3	-1
chr4:108879063-108879063	ENSMUSG00000003411	Rab3b	1
chr13:89540636-89540636	ENSMUSG00000021613	Hapln1	1
chr15:37792433-37792433	ENSMUSG00000051359	Ncald	-1
chr5:139129759-139129759	ENSMUSG00000025855	Prkar1b	-1
chr2:151632549-151632549	ENSMUSG00000027457	Snph	-1
chr7:109010825-109010825	ENSMUSG00000031028	Tub	1
chr19:38125321-38125321	ENSMUSG00000024990	Rbp4	-1
chr1:58029931-58029931	ENSMUSG00000063558	Aox1	1
chr7:19404104-19404104	ENSMUSG00000040714	Klc3	-1
chr10:88356996-88356996	ENSMUSG00000020057	Dram1	-1
chr6:118197744-118197744	ENSMUSG00000030110	Ret	-1
chr2:66634952-66634952	ENSMUSG00000075316	Scn9a	-1
chr10:18845071-18845071	ENSMUSG00000019851	Perp	1
chr19:32061469-32061469	ENSMUSG00000024887	Asah2	-1
chr10:14545036-14545036	ENSMUSG00000039116	Gpr126	-1
chr6:17463800-17463800	ENSMUSG00000009376	Met	1
chr17:27655509-27655509	ENSMUSG00000040276	Pacsin1	1
chr2:71981240-71981240	ENSMUSG00000049044	Rapgef4	1
chr4:137707522-137707522	ENSMUSG00000041351	Rap1gap	1
chr10:18743758-18743758	ENSMUSG00000019852	D10Bwg1379e	-1
chr8:45507794-45507794	ENSMUSG00000031626	Sorbs2	1
chr7:113765998-113765998	ENSMUSG00000038156	Spon1	1
chr15:97908310-97908310	ENSMUSG00000022479	Vdr	-1
chr12:40134228-40134228	ENSMUSG00000002565	Scin	-1
chr16:28445227-28445227	ENSMUSG00000022523	Fgf12	-1
chr14:24004205-24004205	ENSMUSG00000063142	Kcnma1	-1
chr1:174501825-174501825	ENSMUSG00000028354	Fmn2	1
chr1:152954993-152954993	ENSMUSG00000042751	Nmnat2	1
chr12:102554969-102554969	ENSMUSG00000021194	Chga	1
chr1:75264213-75264213	ENSMUSG00000026204	Ptprn	-1
chrX:6047453-6047453	ENSMUSG00000073295	Nudt11	1
chr7:61982356-61982356	ENSMUSG00000097225	A330076H08Rik	-1
chr8:111933791-111933791	ENSMUSG00000031951	Tmem231	-1
chr7:35334170-35334170	ENSMUSG00000030494	Rhpn2	1
chr3:157925077-157925077	ENSMUSG00000028179	Cth	-1
chr17:31386234-31386234	ENSMUSG00000041119	Pde9a	1
chr15:101411043-101411043	ENSMUSG00000023039	Krt7	1
chr18:20558074-20558074	ENSMUSG00000044393	Dsg2	1
chr13:38151328-38151328	ENSMUSG00000054889	Dsp	1
chr7:141338880-141338880	ENSMUSG00000025504	Eps8l2	1
chr13:43135384-43135384	ENSMUSG00000054728	Phactr1	1
chr15:78305603-78305603	ENSMUSG00000071714	Csf2rb2	-1
chr10:51480632-51480632	ENSMUSG00000089672	Gp49a	1
chr10:51480640-51480640	ENSMUSG00000062593	Lilrb4	1
chr7:139988434-139988434	ENSMUSG00000025473	Adam8	-1
chr1:173741747-173741747	ENSMUSG00000073490	AI607873	-1
chr1:173913046-173913046	ENSMUSG00000026536	Mnda	-1
chr6:40628831-40628831	ENSMUSG00000068587	Mgam	1
chr10:74967177-74967177	ENSMUSG00000040009	Gnaz	1
chr13:52530836-52530836	ENSMUSG00000047842	Diras2	-1
chrX:136590855-136590855	ENSMUSG00000044550	Tceal3	1
chr6:29396309-29396309	ENSMUSG00000029769	Ccdc136	1
chr3:146852367-146852367	ENSMUSG00000036745	Ttll7	1
chr1:169747642-169747642	ENSMUSG00000038530	Rgs4	-1
chr2:143546271-143546271	ENSMUSG00000027419	Pcsk2	1
chr16:42340651-42340651	ENSMUSG00000047261	Gap43	-1
chr5:134986214-134986214	ENSMUSG00000070473	Cldn3	1
chr11:100146120-100146120	ENSMUSG00000020911	Krt19	-1
chr5:63812495-63812495	ENSMUSG00000060512	0610040J01Rik	1
chr15:98296130-98296130	ENSMUSG00000022987	Zfp641	-1
chr17:35342242-35342242	ENSMUSG00000091705	H2-Q2	1
chrX:36195904-36195904	ENSMUSG00000036699	Zcchc12	1
chr5:96793385-96793385	ENSMUSG00000029484	Anxa3	1
