tss_loc	ensg	name	strand
chr17:29237797-29237797	ENSMUSG00000024008	Cpne5	-1
chr14:57015134-57015134	ENSMUSG00000096144	B020004C17Rik	1
chr1:83038448-83038448	ENSMUSG00000038496	Slc19a3	-1
chr3:152266320-152266320	ENSMUSG00000039103	Nexn	-1
chr10:80329953-80329953	ENSMUSG00000035504	Reep6	1
chrX:74177259-74177259	ENSMUSG00000031397	Tktl1	1
chr2:144331695-144331695	ENSMUSG00000037279	Ovol2	-1
chr7:6995443-6995443	ENSMUSG00000070837	Aurkc	1
chr17:50293599-50293599	ENSMUSG00000010592	Dazl	-1
chr15:85131957-85131957	ENSMUSG00000022432	Smc1b	-1
chr6:125286042-125286042	ENSMUSG00000067702	Tuba3a	-1
chr1:14755990-14755990	ENSMUSG00000025930	Msc	-1
chr15:84720083-84720083	ENSMUSG00000078954	Arhgap8	1
chr11:5058128-5058128	ENSMUSG00000034209	Rasl10a	1
chr11:97013394-97013394	ENSMUSG00000038560	Sp6	1
chr5:113735782-113735782	ENSMUSG00000053334	Ficd	1
chr8:67365004-67365004	ENSMUSG00000074292	Gm10660	-1
chr4:3242055-3242055	ENSMUSG00000085180	AI838599	1
chr8:89044162-89044162	ENSMUSG00000031665	Sall1	-1
chr1:72824503-72824503	ENSMUSG00000039323	Igfbp2	1
chr3:34650005-34650005	ENSMUSG00000074637	Sox2	1
chr3:137624037-137624037	ENSMUSG00000046818	Ddit4l	1
chr7:45694402-45694402	ENSMUSG00000040364	Sec1	-1
chr5:95456806-95456806	ENSMUSG00000070677	D5Ertd577e	1
chr14:26221856-26221856	ENSMUSG00000094817	Cphx3	1
chr2:164805098-164805098	ENSMUSG00000045822	Zswim3	1
chr13:100651579-100651579	ENSMUSG00000052293	Taf9	1
chr13:23622502-23622502	ENSMUSG00000051627	Hist1h1e	-1
chr13:23763717-23763717	ENSMUSG00000049539	Hist1h1a	1
chr13:21780625-21780625	ENSMUSG00000058773	Hist1h1b	-1
chr4:116551740-116551740	ENSMUSG00000087299	Gm12953	1
chr1:171919356-171919356	ENSMUSG00000104413	RP23-77A8.2	-1
chr11:46571536-46571536	ENSMUSG00000046974	BC053393	1
chr6:38124586-38124586	ENSMUSG00000038600	Atp6v0a4	-1
chr1:85575676-85575676	ENSMUSG00000094127	G530012D18Rik	1
chrX:134161928-134161928	ENSMUSG00000031258	Xkrx	-1
chr3:88296999-88296999	ENSMUSG00000010538	Tsacc	-1
chr17:34644764-34644764	ENSMUSG00000033739	Fkbpl	1
chr19:5560575-5560575	ENSMUSG00000024922	Ovol1	-1
chr3:10366907-10366907	ENSMUSG00000027536	Chmp4c	1
chr2:132598195-132598195	ENSMUSG00000074783	AU019990	1
chr9:44440868-44440868	ENSMUSG00000074397	Foxr1	-1
chr5:95775870-95775870	ENSMUSG00000072813	E330014E10Rik	1
chr11:94782703-94782703	ENSMUSG00000075610	Tmem92	-1
chr9:89092690-89092690	ENSMUSG00000079162	Trim43b	-1
chr5:95190874-95190874	ENSMUSG00000095996	Gm16513	1
chr2:87492418-87492418	ENSMUSG00000025839	Pramel7	-1
chr2:87508458-87508458	ENSMUSG00000025838	Pramel6	1
chr4:144059126-144059126	ENSMUSG00000073724	Pramel4	1
chr1:37865079-37865079	ENSMUSG00000060771	Tsga10	-1
chr12:111284784-111284784	ENSMUSG00000097381	A230087F16Rik	1
chr3:89365253-89365253	ENSMUSG00000042672	Dcst1	-1
chr1:74153991-74153991	ENSMUSG00000026180	Cxcr2	1
chr9:50494525-50494525	ENSMUSG00000032068	Plet1	1
chr18:20059554-20059554	ENSMUSG00000024331	Dsc2	-1
chr4:11386679-11386679	ENSMUSG00000040728	Esrp1	-1
chr9:123216038-123216038	ENSMUSG00000035498	Cdcp1	-1
chr11:46735080-46735080	ENSMUSG00000040405	Havcr1	1
chr17:23745829-23745829	ENSMUSG00000040680	Kremen2	-1
chr17:36058371-36058371	ENSMUSG00000079492	Gm11127	-1
chr12:88274500-88274500	ENSMUSG00000079029	Gm5662	-1
chr12:87514316-87514316	ENSMUSG00000079034	Gm8300	1
chr12:87816577-87816577	ENSMUSG00000079031	BB287469	1
chr12:87874072-87874072	ENSMUSG00000072905	Gm2016	1
chr12:87618869-87618869	ENSMUSG00000092019	Gm4027	1
chr10:79777272-79777272	ENSMUSG00000020325	Fstl3	1
chr4:62480053-62480053	ENSMUSG00000028392	Bspry	1
chr15:79605084-79605084	ENSMUSG00000022429	Dmc1	-1
chr13:23782572-23782572	ENSMUSG00000064140	Trim38	1
chr1:87089911-87089911	ENSMUSG00000026246	Alppl2	-1
chr19:6276605-6276605	ENSMUSG00000085196	Gm14963	-1
chr9:21225371-21225371	ENSMUSG00000097439	Gm16754	1
chr1:87803680-87803680	ENSMUSG00000056055	Sag	1
