tss_loc	ensg	name	strand
chr11:59541568-59541568	ENSMUSG00000032691	Nlrp3	1
chr9:123260789-123260789	ENSMUSG00000054871	Tmem158	-1
chr16:44765736-44765736	ENSMUSG00000022667	Cd200r1	1
chr11:114934386-114934386	ENSMUSG00000063193	Cd300lb	-1
chr11:48992258-48992258	ENSMUSG00000078922	Tgtp1	-1
chr11:19018985-19018985	ENSMUSG00000020160	Meis1	-1
chr1:36132042-36132042	ENSMUSG00000102202	RP23-173H19.3	1
chr13:60936625-60936625	ENSMUSG00000044258	Ctla2a	-1
chr11:79530559-79530559	ENSMUSG00000070354	Gm21975	-1
chr17:35188439-35188439	ENSMUSG00000073412	Lst1	-1
chrX:16817366-16817366	ENSMUSG00000040147	Maob	-1
chr11:82035571-82035571	ENSMUSG00000035385	Ccl2	1
chr6:97807058-97807058	ENSMUSG00000035158	Mitf	1
chr10:127000709-127000709	ENSMUSG00000025432	Avil	1
chr17:55749984-55749984	ENSMUSG00000032915	Emr4	1
chr2:129371139-129371139	ENSMUSG00000027398	Il1b	-1
chr12:112860916-112860916	ENSMUSG00000021298	Gpr132	-1
chr6:88193891-88193891	ENSMUSG00000015053	Gata2	1
chr11:102469883-102469883	ENSMUSG00000034664	Itga2b	-1
chr16:33794367-33794367	ENSMUSG00000022824	Muc13	1
chr6:121300227-121300227	ENSMUSG00000030108	Slc6a13	1
chr17:55952623-55952623	ENSMUSG00000003206	Ebi3	1
chr14:61309753-61309753	ENSMUSG00000043157	Arl11	1
chr13:100246323-100246323	ENSMUSG00000071203	Naip5	-1
chr8:72009626-72009626	ENSMUSG00000003484	Cyp4f18	-1
chr6:123289870-123289870	ENSMUSG00000030142	Clec4e	-1
chr14:103046977-103046977	ENSMUSG00000022126	Irg1	1
chr14:20836662-20836662	ENSMUSG00000021822	Plau	1
chr6:49036518-49036518	ENSMUSG00000029816	Gpnmb	1
chr1:150100031-150100031	ENSMUSG00000032487	Ptgs2	1
chr1:191183340-191183340	ENSMUSG00000026628	Atf3	-1
chr11:103267472-103267472	ENSMUSG00000020941	Map3k14	-1
chr7:110982461-110982461	ENSMUSG00000005611	Mrvi1	-1
chr5:35041553-35041553	ENSMUSG00000029102	Hgfac	1
chr8:95017692-95017692	ENSMUSG00000060470	Gpr97	1
chr7:82335694-82335694	ENSMUSG00000070469	Adamtsl3	1
chr2:36230426-36230426	ENSMUSG00000047250	Ptgs1	1
chr12:31073968-31073968	ENSMUSG00000036136	Fam110c	1
chr14:55618037-55618037	ENSMUSG00000002324	Rec8	1
chr6:60924976-60924976	ENSMUSG00000054641	Mmrn1	1
chr1:40429570-40429570	ENSMUSG00000026069	Il1rl1	1
chr15:103255439-103255439	ENSMUSG00000058794	Nfe2	-1
